,Action,Start,End,Duration
0,&=crying,00:00:00.000,00:00:00.000,00:00:00.000
1,&=crying,00:02:32.260,00:02:32.820,00:00:00.560
2,&=crying,00:03:05.400,00:03:05.540,00:00:00.140
3,&=crying,00:03:11.860,00:03:12.600,00:00:00.740
4,&=crying,00:04:45.790,00:04:45.910,00:00:00.120
5,&=crying,00:05:01.240,00:05:01.370,00:00:00.130
6,&=crying,00:05:59.320,00:05:59.470,00:00:00.150
7,&=crying,00:06:07.020,00:06:07.130,00:00:00.110
8,&=crying,00:06:33.030,00:06:33.380,00:00:00.350
9,&=crying,00:06:46.820,00:06:47.030,00:00:00.210
10,&=crying,00:07:19.070,00:07:19.350,00:00:00.280
11,&=crying,00:07:37.660,00:07:37.910,00:00:00.250
12,&=crying,00:08:29.240,00:08:29.340,00:00:00.100
13,&=crying,00:11:02.260,00:11:03.100,00:00:00.840
14,&=crying,00:11:40.320,00:11:41.420,00:00:01.100
15,&=crying,00:11:43.810,00:11:44.230,00:00:00.420
16,&=crying,00:12:49.400,00:12:51.060,00:00:01.660
17,&=crying,00:12:54.150,00:12:54.390,00:00:00.240
18,&=crying,00:12:57.380,00:12:58.210,00:00:00.830
19,&=crying,00:12:59.620,00:13:01.530,00:00:01.910
20,&=crying,00:13:02.630,00:13:06.380,00:00:03.750
21,&=crying,00:14:15.120,00:14:15.880,00:00:00.760
22,&=crying,00:14:21.880,00:14:22.240,00:00:00.360
23,&=crying,00:14:24.380,00:14:25.440,00:00:01.060
24,&=crying,00:14:26.480,00:14:27.170,00:00:00.690
25,&=crying,00:14:29.000,00:14:30.210,00:00:01.210
26,&=crying,00:14:32.360,00:14:32.800,00:00:00.440
27,&=crying,00:14:42.230,00:14:43.440,00:00:01.210
28,&=crying,00:15:02.820,00:15:03.420,00:00:00.600
29,&=crying,00:17:52.180,00:17:53.790,00:00:01.610
30,&=crying,00:23:13.200,00:23:13.780,00:00:00.580
31,&=crying,00:23:39.860,00:23:40.820,00:00:00.960
32,&=crying,00:23:43.570,00:23:43.930,00:00:00.360
33,&=crying,00:26:30.220,00:26:30.540,00:00:00.320
34,&=crying,00:28:47.680,00:28:48.710,00:00:01.030
35,&=crying,00:28:50.040,00:28:50.650,00:00:00.610
36,&=crying,00:29:15.560,00:29:16.160,00:00:00.600
37,&=crying,00:36:40.760,00:36:42.030,00:00:01.270
38,&=crying,00:36:43.110,00:36:43.910,00:00:00.800
39,&=crying,00:36:49.890,00:36:51.240,00:00:01.350
40,&=crying,00:36:56.090,00:36:56.460,00:00:00.370
41,&=crying,00:36:57.380,00:36:58.190,00:00:00.810
42,&=crying,00:36:59.790,00:37:01.350,00:00:01.560
43,&=crying,00:39:09.790,00:39:10.760,00:00:00.970
44,&=crying,00:39:14.400,00:39:16.090,00:00:01.690
45,&=crying,00:39:17.280,00:39:18.870,00:00:01.590
46,&=crying,00:39:19.710,00:39:21.700,00:00:01.990
47,&=crying,00:39:22.780,00:39:23.770,00:00:00.990
48,&=crying,00:39:23.770,00:39:24.670,00:00:00.900
49,&=crying,00:39:24.850,00:39:25.700,00:00:00.850
50,&=crying,00:39:25.700,00:39:26.170,00:00:00.470
51,&=crying,00:39:38.260,00:39:38.870,00:00:00.610
52,&=crying,00:39:38.870,00:39:39.670,00:00:00.800
53,&=crying,00:39:56.770,00:39:57.490,00:00:00.720
54,&=crying,00:39:58.470,00:40:00.610,00:00:02.140
55,&=crying,00:40:03.010,00:40:03.460,00:00:00.450
56,&=crying,01:09:25.880,01:09:26.370,00:00:00.490
57,&=crying,01:12:41.220,01:12:42.300,00:00:01.080
58,&=crying,01:17:14.870,01:17:15.660,00:00:00.790
59,&=crying,01:17:15.660,01:17:16.110,00:00:00.450
60,&=crying,01:17:18.430,01:17:18.740,00:00:00.310
61,&=crying,01:17:33.560,01:17:34.280,00:00:00.720
62,&=crying,01:17:59.530,01:18:01.350,00:00:01.820
63,&=crying,01:18:05.480,01:18:05.900,00:00:00.420
64,&=crying,01:18:08.080,01:18:08.260,00:00:00.180
65,&=crying,01:18:10.500,01:18:11.900,00:00:01.400
66,&=crying,01:18:12.790,01:18:13.230,00:00:00.440
67,&=crying,01:18:21.160,01:18:21.650,00:00:00.490
68,&=crying,01:18:25.190,01:18:25.840,00:00:00.650
69,&=crying,01:18:32.890,01:18:33.220,00:00:00.330
70,&=crying,02:40:43.890,02:40:44.510,00:00:00.620
71,&=crying,06:19:30.090,06:19:30.230,00:00:00.140
72,&=crying,06:22:39.960,06:22:40.370,00:00:00.410
73,&=crying,06:22:47.810,06:22:48.310,00:00:00.500
74,&=crying,07:53:33.850,07:53:34.090,00:00:00.240
75,&=crying,07:53:44.470,07:53:44.980,00:00:00.510
76,&=crying,09:22:55.110,09:22:55.280,00:00:00.170
77,&=crying,09:26:59.250,09:26:59.330,00:00:00.080
78,&=crying,10:18:31.010,10:18:31.690,00:00:00.680
79,&=crying,10:30:34.150,10:30:34.810,00:00:00.660
80,&=crying,10:41:19.120,10:41:19.290,00:00:00.170
81,&=crying,11:43:09.000,11:43:09.600,00:00:00.600
82,&=crying,11:43:39.730,11:43:39.990,00:00:00.260
83,&=crying,12:29:17.960,12:29:18.140,00:00:00.180
84,&=crying,12:40:24.040,12:40:24.380,00:00:00.340
85,&=crying,14:01:23.220,14:01:23.600,00:00:00.380
86,&=crying,14:03:34.810,14:03:35.050,00:00:00.240
87,&=crying,14:04:25.130,14:04:25.540,00:00:00.410
