,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:02:32.260,00:03:12.600,1.0,0.02
1,,00:04:45.790,00:08:29.340,2.5,0.01
2,,00:11:02.260,00:11:44.230,2.4,0.06
3,,00:12:49.400,00:13:06.380,8.5,0.50
4,,00:14:15.120,00:15:03.420,6.6,0.14
5,,00:23:13.200,00:23:43.930,1.7,0.06
6,,00:28:47.680,00:29:16.160,2.4,0.08
7,,00:36:40.760,00:37:01.350,6.3,0.31
8,,00:39:09.790,00:40:03.460,15.0,0.28
9,,01:17:14.870,01:18:33.220,8.9,0.11
10,,06:22:39.960,06:22:48.310,0.8,0.10
11,,07:53:33.850,07:53:44.980,0.9,0.08
12,,11:43:09.000,11:43:39.990,1.1,0.04
13,,14:03:34.810,14:04:29.650,1.2,0.02
14,,14:05:29.790,14:07:16.680,5.5,0.05
15,,14:10:03.550,14:10:05.300,1.1,0.63
16,,14:12:38.490,14:13:40.300,2.0,0.03
17,,14:15:00.130,14:19:18.160,11.6,0.04
18,,14:36:41.190,14:37:31.560,1.7,0.03
19,,14:43:02.230,14:44:10.740,10.9,0.16
20,,14:48:43.170,14:49:11.790,1.0,0.03
21,,15:21:46.820,15:22:01.310,0.9,0.06
22,,15:26:46.870,15:26:57.380,0.9,0.09
23,,15:28:23.470,15:28:49.590,2.2,0.08
