,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:02:46.080,00:03:03.240,1.6,0.09
1,,00:06:08.860,00:07:13.490,9.1,0.14
2,,00:08:40.180,00:13:07.120,125.0,0.47
3,,00:14:20.310,00:14:42.170,0.6,0.03
4,,00:21:31.000,00:21:35.380,1.4,0.32
5,,00:29:20.630,00:30:03.930,3.2,0.07
6,,00:32:50.930,00:34:02.380,2.9,0.04
7,,00:35:55.920,00:41:26.870,51.5,0.16
8,,00:42:31.410,00:43:37.780,15.8,0.24
9,,00:44:58.460,00:45:11.180,2.1,0.17
10,,00:49:30.120,00:50:09.600,12.2,0.31
11,,00:52:31.620,00:52:54.910,1.7,0.07
12,,02:28:07.840,02:33:31.970,106.2,0.33
13,,02:36:14.190,02:36:41.370,2.5,0.09
14,,02:43:01.610,02:43:53.850,2.8,0.05
15,,03:16:10.040,03:16:17.840,0.3,0.04
16,,03:17:31.290,03:19:06.530,3.6,0.04
17,,03:21:56.520,03:26:42.160,31.3,0.11
18,,03:27:43.980,03:29:11.620,14.9,0.17
19,,03:30:49.910,03:38:16.850,232.5,0.52
20,,03:55:04.650,03:55:35.660,1.9,0.06
21,,03:59:47.420,04:00:46.830,0.2,0.00
22,,04:04:43.420,04:07:21.760,13.7,0.09
23,,04:13:51.190,04:14:06.320,4.2,0.28
24,,04:21:41.360,04:28:05.750,36.4,0.09
25,,04:32:10.610,04:32:31.800,3.0,0.14
26,,05:08:00.630,05:09:21.000,6.1,0.08
27,,05:13:44.870,05:14:49.690,3.9,0.06
28,,05:17:30.990,05:19:09.600,35.9,0.36
29,,05:23:23.070,05:24:42.390,16.6,0.21
30,,06:31:15.020,06:34:41.130,13.7,0.07
31,,06:44:02.320,06:45:00.680,10.9,0.19
32,,06:46:29.980,06:47:08.550,16.1,0.42
33,,06:50:00.120,06:51:46.020,19.4,0.18
34,,06:55:11.960,06:55:25.810,1.8,0.13
35,,07:33:39.140,07:33:40.560,1.1,0.77
36,,08:29:04.990,08:29:17.070,2.0,0.17
37,,09:48:42.260,09:50:35.150,34.0,0.30
38,,09:52:04.330,09:56:09.610,37.7,0.15
39,,10:11:53.660,10:14:23.840,39.4,0.26
40,,10:20:06.950,10:20:14.680,1.4,0.18
41,,10:49:43.270,10:51:34.470,6.4,0.06
42,,10:54:45.240,10:55:09.170,1.5,0.06
43,,11:33:39.780,11:33:45.100,0.6,0.11
44,,11:38:57.490,11:39:42.260,1.5,0.03
45,,12:00:05.270,12:01:13.630,4.7,0.07
46,,14:36:37.530,14:36:58.170,1.2,0.06
47,,14:44:10.990,14:44:42.660,5.5,0.17
