,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:05:37.240,00:05:51.930,0.6,0.04
1,,00:07:55.680,00:15:11.820,231.4,0.53
2,,00:16:44.170,00:19:31.620,39.0,0.23
3,,00:54:35.530,00:57:27.790,34.9,0.20
4,,00:58:50.990,00:59:08.870,2.5,0.14
5,,01:01:27.750,01:04:00.980,102.4,0.67
6,,01:07:25.220,01:08:27.230,17.2,0.28
7,,01:11:36.970,01:12:04.330,10.0,0.37
8,,01:19:43.940,01:22:45.440,74.0,0.41
9,,01:57:47.280,02:00:21.350,50.7,0.33
10,,02:11:41.710,02:11:47.490,1.4,0.24
11,,02:12:55.240,02:15:14.630,73.4,0.53
12,,02:18:29.440,02:19:06.810,19.0,0.51
13,,02:23:15.020,02:23:30.630,14.0,0.90
14,,02:27:14.890,02:29:45.130,51.5,0.34
15,,02:34:25.580,02:35:11.480,16.5,0.36
16,,03:00:46.510,03:02:39.210,51.6,0.46
17,,03:11:02.460,03:11:54.170,0.8,0.02
18,,03:21:09.260,03:21:48.500,3.0,0.08
19,,03:37:58.590,03:38:03.730,1.5,0.29
20,,03:52:49.850,03:54:58.950,46.9,0.36
21,,04:28:57.550,04:29:09.670,6.8,0.56
22,yes,04:30:31.930,04:37:02.800,88.7,0.23
23,yes,04:38:03.780,04:41:47.390,95.6,0.43
24,yes,05:07:26.680,05:07:30.060,1.4,0.41
25,yes,05:10:40.890,05:11:24.550,2.6,0.06
26,yes,05:13:36.900,05:16:01.610,13.5,0.09
27,yes,05:20:57.110,05:21:15.460,0.9,0.05
28,no,05:22:29.920,05:23:09.810,1.1,0.03
29,yes,05:24:53.650,05:26:15.430,35.3,0.43
30,yes,05:30:07.030,05:31:39.110,13.5,0.15
31,yes,05:37:07.740,05:37:24.410,1.8,0.11
32,yes,05:46:57.830,05:47:31.240,4.7,0.14
33,yes,06:33:21.690,06:33:29.210,3.8,0.51
34,yes,06:35:06.300,06:35:33.300,16.7,0.62
35,yes,07:45:07.700,07:46:27.650,18.8,0.24
36,,07:48:34.840,07:49:26.510,0.2,0.00
37,,07:53:02.790,07:53:28.510,0.8,0.03
38,,07:57:12.430,07:59:59.190,7.0,0.04
39,,11:55:18.410,11:55:28.890,1.8,0.17
40,,11:56:53.320,11:57:35.210,21.3,0.51
41,,12:51:47.260,12:52:08.660,1.4,0.07
42,,12:55:46.940,12:57:36.500,0.4,0.00
43,,12:59:20.310,12:59:53.580,0.6,0.02
44,,13:01:11.910,13:03:44.000,1.1,0.01
45,,13:16:00.640,13:16:08.020,0.7,0.09
46,,13:44:41.370,13:45:57.690,0.8,0.01
47,,13:53:00.120,13:53:03.380,2.4,0.74
48,,13:56:42.050,13:58:09.290,28.1,0.32
49,,13:59:12.890,13:59:56.770,6.7,0.15
50,,14:01:33.050,14:02:03.540,3.2,0.10
51,,14:08:59.410,14:09:31.990,3.9,0.12
52,,14:10:44.140,14:12:13.330,11.4,0.13
53,,14:16:56.710,14:17:28.420,1.0,0.03
54,,14:18:58.270,14:19:13.340,1.2,0.08
55,,15:09:50.010,15:10:07.910,1.2,0.07
56,,15:12:23.790,15:12:52.870,0.2,0.01
57,,15:13:55.630,15:18:52.120,127.4,0.43
58,,15:19:56.560,15:21:46.140,37.9,0.35
