,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:31:54.980,00:32:00.300,3.8,0.71
1,,00:37:23.120,00:37:32.120,1.1,0.12
2,,00:42:49.540,00:44:20.620,13.0,0.14
3,,00:55:55.910,00:56:37.340,2.9,0.07
4,,01:03:39.380,01:07:18.200,41.5,0.19
5,,01:09:00.720,01:10:27.100,13.5,0.16
6,,01:11:47.040,01:12:12.660,4.1,0.16
7,,01:24:59.710,01:25:11.600,4.0,0.34
8,,01:39:43.450,01:39:46.270,1.9,0.67
9,,01:55:27.600,01:55:45.470,3.1,0.17
10,,02:00:14.380,02:02:38.340,17.0,0.12
11,,02:03:48.190,02:04:44.630,4.7,0.08
12,,02:27:20.370,02:27:34.070,0.8,0.06
13,yes,02:31:44.190,02:34:50.640,22.7,0.12
14,yes,02:40:02.760,02:40:22.420,6.3,0.32
15,yes,02:42:15.110,02:42:43.110,8.0,0.29
16,yes,02:48:41.400,02:48:44.600,0.6,0.19
17,yes,03:05:43.690,03:05:47.920,0.2,0.05
18,yes,04:00:35.360,04:01:05.310,7.5,0.25
19,no,04:03:56.540,04:05:09.120,3.4,0.05
20,no,05:34:09.060,05:34:10.950,0.8,0.42
21,yes,05:40:10.800,05:41:16.660,1.8,0.03
22,yes,05:43:17.870,05:47:13.120,82.7,0.35
23,yes,05:54:53.210,05:56:19.410,27.1,0.31
24,,05:59:00.010,05:59:10.720,2.8,0.26
25,,06:00:55.830,06:01:48.760,14.6,0.28
26,,06:03:54.210,06:03:56.660,1.4,0.57
27,,06:09:11.250,06:10:23.510,10.1,0.14
28,,06:14:09.090,06:14:29.980,6.1,0.29
29,,06:21:30.210,06:22:24.550,10.6,0.20
30,,06:25:13.450,06:25:35.820,3.5,0.16
31,,06:32:16.630,06:32:30.650,2.1,0.15
32,,06:33:39.390,06:34:49.050,6.1,0.09
33,,06:41:31.700,06:41:40.490,0.6,0.07
34,,07:03:13.900,07:03:40.250,0.4,0.02
35,,07:07:33.940,07:07:59.200,0.5,0.02
