,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:08:28.090,00:09:41.890,0.6,0.01
1,,00:18:35.350,00:19:29.080,1.8,0.03
2,,00:30:54.760,00:31:16.960,5.9,0.27
3,,00:33:17.270,00:33:25.930,0.9,0.10
4,,00:34:52.110,00:35:05.380,2.9,0.22
5,no,02:49:38.930,02:50:28.270,3.7,0.07
6,no,03:17:46.640,03:17:57.990,0.7,0.06
7,no,03:19:09.810,03:19:18.080,1.3,0.16
8,yes,03:40:42.820,03:43:01.650,11.2,0.08
9,yes,04:02:15.740,04:03:34.860,8.4,0.11
10,yes,04:05:00.550,04:08:37.700,14.2,0.07
11,no,04:09:45.560,04:09:55.160,3.2,0.33
12,yes,04:12:01.450,04:15:01.910,23.4,0.13
13,yes,04:16:17.620,04:17:40.600,7.1,0.09
14,yes,06:49:32.520,06:50:47.450,1.9,0.03
15,no,07:19:26.100,07:20:20.440,1.1,0.02
16,no,07:29:25.780,07:30:01.810,1.0,0.03
17,no,07:36:52.560,07:37:24.040,2.3,0.07
18,no,07:45:04.890,07:45:56.360,1.8,0.03
19,yes,07:48:27.710,07:49:42.390,5.3,0.07
20,yes,07:51:45.690,07:52:50.050,15.7,0.24
21,,07:57:46.340,07:58:20.580,0.8,0.02
22,,08:21:27.320,08:22:28.970,4.8,0.08
23,,08:28:11.810,08:29:18.330,2.5,0.04
24,,08:37:01.770,08:38:19.820,7.6,0.10
25,,08:39:53.610,08:40:28.500,3.0,0.09
26,,08:42:59.670,08:43:33.560,0.4,0.01
27,,08:53:59.220,09:00:39.630,32.5,0.08
28,,09:24:30.790,09:26:07.260,1.3,0.01
29,,09:32:38.880,09:39:00.870,103.5,0.27
30,,09:41:57.830,09:42:28.470,8.9,0.29
31,,10:25:08.230,10:27:14.900,62.8,0.50
32,,10:31:01.680,10:31:31.260,0.4,0.01
33,,10:35:21.160,10:35:30.030,1.2,0.14
34,,10:38:04.430,10:38:41.410,11.7,0.32
35,,10:48:07.120,10:48:21.260,2.6,0.18
36,,10:49:27.040,10:50:09.370,5.2,0.12
37,,10:51:21.390,10:52:15.140,6.1,0.11
38,,10:53:19.000,10:54:21.920,2.4,0.04
39,,10:59:22.980,11:00:03.660,2.3,0.06
40,,11:01:20.020,11:05:50.390,40.2,0.15
41,,11:06:58.760,11:20:03.000,325.4,0.41
42,,11:28:30.480,11:29:11.760,0.7,0.02
43,,12:01:25.960,12:01:27.480,1.2,0.79
44,,12:05:32.580,12:06:03.950,3.0,0.10
45,,12:11:52.290,12:15:07.330,47.1,0.24
46,,15:43:12.960,15:43:25.370,2.3,0.19
