,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:00:00.000,00:01:20.490,2.3,0.03
1,,00:05:03.110,00:05:32.160,0.0,0.00
2,,00:21:41.060,00:23:47.910,9.7,0.08
3,,00:30:46.650,00:31:01.240,1.8,0.12
4,,00:32:13.610,00:33:17.620,8.2,0.13
5,,00:34:24.910,00:36:35.220,6.5,0.05
6,,01:03:57.490,01:04:35.180,0.7,0.02
7,,01:06:03.880,01:09:39.530,13.9,0.06
8,,01:24:49.010,01:24:54.990,0.0,0.00
9,,02:59:13.410,03:01:25.020,7.2,0.05
10,,03:05:26.750,03:07:34.610,4.4,0.03
11,,03:19:00.430,03:19:36.530,1.8,0.05
12,no,03:34:31.230,03:35:08.570,0.0,0.00
13,no,03:36:34.750,03:37:12.570,3.4,0.09
14,yes,03:39:50.400,03:41:52.800,13.1,0.11
15,yes,03:54:43.870,03:55:35.840,2.2,0.04
16,yes,04:01:42.230,04:04:51.240,19.5,0.10
17,yes,04:18:47.540,04:19:20.450,1.9,0.06
18,yes,04:21:28.520,04:22:06.210,0.8,0.02
19,no,04:23:52.380,04:23:56.350,1.0,0.25
20,no,04:32:54.320,04:33:29.590,3.0,0.09
21,no,04:39:34.080,04:40:05.910,1.9,0.06
22,yes,04:44:15.980,04:45:40.020,4.5,0.05
23,yes,04:57:56.030,04:58:18.740,0.7,0.03
24,yes,05:09:38.370,05:11:13.740,2.6,0.03
25,yes,05:12:27.170,05:13:23.500,1.4,0.02
26,,06:35:58.690,06:36:51.880,0.0,0.00
27,,07:23:16.150,07:23:34.180,1.2,0.07
28,,07:26:55.680,07:27:14.940,0.0,0.00
29,,07:29:32.920,07:30:28.360,2.9,0.05
30,,07:32:49.260,07:34:20.930,6.1,0.07
31,,07:36:29.840,07:38:21.160,5.1,0.05
32,,07:42:56.690,07:44:31.930,9.6,0.10
33,,07:52:47.060,07:53:58.690,6.2,0.09
34,,07:58:33.490,07:59:22.790,2.3,0.05
35,,08:01:37.970,08:02:01.650,0.8,0.03
36,,08:04:17.640,08:04:32.680,1.2,0.08
37,,08:06:25.900,08:10:54.390,12.1,0.05
38,,08:12:05.920,08:13:09.290,1.1,0.02
39,,08:15:28.070,08:16:19.310,2.2,0.04
40,,08:17:24.430,08:18:22.000,0.0,0.00
41,,08:22:15.540,08:30:41.310,28.3,0.06
42,,08:32:58.890,08:33:15.260,0.2,0.01
43,,09:06:24.800,09:07:29.080,1.0,0.02
44,,09:13:21.530,09:13:54.100,2.7,0.08
45,,09:53:46.890,09:56:38.020,22.7,0.13
46,,10:01:53.980,10:07:12.000,9.8,0.03
47,,10:10:14.940,10:10:16.210,0.4,0.31
48,,10:11:37.770,10:12:48.500,3.7,0.05
49,,10:15:15.610,10:15:22.680,0.0,0.00
50,,10:16:35.870,10:17:18.780,0.0,0.00
51,,10:21:57.390,10:23:17.930,6.1,0.08
52,,10:24:39.510,10:30:37.560,26.5,0.07
53,,10:39:41.010,10:40:48.070,5.1,0.08
54,,11:20:11.090,11:21:42.510,5.4,0.06
55,,11:22:58.310,11:25:19.850,19.3,0.14
56,,11:31:28.720,11:32:33.720,1.6,0.02
57,,11:35:52.690,11:37:29.440,9.3,0.10
58,,11:40:51.170,11:41:00.260,0.6,0.07
59,,11:42:14.360,11:43:21.240,8.1,0.12
60,,11:46:49.360,11:47:51.190,5.0,0.08
61,,11:52:02.080,11:52:42.340,2.1,0.05
62,,11:53:49.740,11:54:03.440,0.0,0.00
63,,12:08:03.160,12:08:18.670,0.0,0.00
64,,12:09:38.570,12:10:21.280,0.3,0.01
65,,12:12:49.030,12:14:01.930,3.1,0.04
66,,12:16:31.200,12:16:41.060,0.0,0.00
67,,13:19:29.000,13:29:33.420,39.0,0.06
68,,13:32:11.210,13:33:22.600,7.6,0.11
69,,14:55:05.350,14:56:02.740,16.2,0.28
70,,15:00:27.830,15:05:00.630,22.8,0.08
71,,15:07:01.230,15:08:07.140,5.9,0.09
72,,15:28:41.220,15:29:35.590,1.5,0.03
73,,15:32:11.660,15:33:09.580,0.0,0.00
74,,15:41:02.860,15:44:23.550,15.1,0.08
75,,15:46:46.640,15:47:26.620,6.7,0.17
76,,15:48:31.700,15:52:02.370,8.2,0.04
