,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:08:28.090,00:09:41.890,0.0,0.00
1,,00:18:35.350,00:19:29.080,0.0,0.00
2,,00:30:54.760,00:31:16.960,1.0,0.05
3,,00:33:17.270,00:33:25.930,1.0,0.12
4,,00:34:52.110,00:35:05.380,0.0,0.00
5,no,02:49:38.930,02:50:28.270,2.0,0.04
6,no,03:17:46.640,03:17:57.990,1.0,0.09
7,no,03:19:09.810,03:19:18.080,1.8,0.22
8,yes,03:40:42.820,03:43:01.650,10.5,0.08
9,yes,04:02:15.740,04:03:34.860,2.9,0.04
10,yes,04:05:00.550,04:08:37.700,8.3,0.04
11,no,04:09:45.560,04:09:55.160,0.0,0.00
12,yes,04:12:01.450,04:15:01.910,7.9,0.04
13,yes,04:16:17.620,04:17:40.600,4.4,0.05
14,yes,06:49:32.520,06:50:47.450,0.0,0.00
15,no,07:19:26.100,07:20:20.440,0.0,0.00
16,no,07:29:25.780,07:30:01.810,0.0,0.00
17,no,07:36:52.560,07:37:24.040,0.0,0.00
18,no,07:45:04.890,07:45:56.360,0.0,0.00
19,yes,07:48:27.710,07:49:42.390,0.0,0.00
20,yes,07:51:45.690,07:52:50.050,2.9,0.05
21,,07:57:46.340,07:58:20.580,0.0,0.00
22,,08:21:27.320,08:22:28.970,2.1,0.03
23,,08:28:11.810,08:29:18.330,4.9,0.07
24,,08:37:01.770,08:38:19.820,6.1,0.08
25,,08:39:53.610,08:40:28.500,0.0,0.00
26,,08:42:59.670,08:43:33.560,0.0,0.00
27,,08:53:59.220,09:00:39.630,14.7,0.04
28,,09:24:30.790,09:26:07.260,0.6,0.01
29,,09:32:38.880,09:39:00.870,4.3,0.01
30,,09:41:57.830,09:42:28.470,0.0,0.00
31,,10:25:08.230,10:27:14.900,10.2,0.08
32,,10:31:01.680,10:31:31.260,2.3,0.08
33,,10:35:21.160,10:35:30.030,0.0,0.00
34,,10:38:04.430,10:38:41.410,0.0,0.00
35,,10:48:07.120,10:48:21.260,0.0,0.00
36,,10:49:27.040,10:50:09.370,1.9,0.04
37,,10:51:21.390,10:52:15.140,1.2,0.02
38,,10:53:19.000,10:54:21.920,0.1,0.00
39,,10:59:22.980,11:00:03.660,0.8,0.02
40,,11:01:20.020,11:05:50.390,20.3,0.08
41,,11:06:58.760,11:20:03.000,44.3,0.06
42,,11:28:30.480,11:29:11.760,3.1,0.08
43,,12:01:25.960,12:01:27.480,0.0,0.00
44,,12:05:32.580,12:06:03.950,0.0,0.00
45,,12:11:52.290,12:15:07.330,4.2,0.02
46,,15:43:12.960,15:43:25.370,0.0,0.00
