Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
52.28	52280	53.19	53190	0.91	910															
55.7	55700	56.56	56560	0.86	860															
134.41	134410	135.02	135020	0.61	610															
400.35	400350	401.44	401440	1.09	1090															
432.63	432630	433.23	433230	0.6	600															
470.37	470370	471.17	471170	0.8	800															
504.01	504010	504.61	504610	0.6	600															
529.21	529210	530.56	530560	1.35	1350															
530.56	530560	531.4	531400	0.84	840															
577.6	577600	578.43	578430	0.83	830															
584.45	584450	585.36	585360	0.91	910															
589.01	589010	589.82	589820	0.81	810															
597.18	597180	598.18	598180	1.0	1000															
734.62	734620	735.42	735420	0.8	800															
742.36	742360	743.16	743160	0.8	800															
882.34	882340	883.14	883140	0.8	800															
898.73	898730	899.33	899330	0.6	600															
907.82	907820	908.62	908620	0.8	800															
910.16	910160	911.22	911220	1.06	1060															
921.32	921320	921.92	921920	0.6	600															
946.4	946400	947.0	947000	0.6	600															
1041.76	1041760	1042.76	1042760	1.0	1000															
1048.18	1048180	1049.24	1049240	1.06	1060															
1057.56	1057560	1058.16	1058160	0.6	600															
1084.78	1084780	1085.38	1085380	0.6	600															
1123.98	1123980	1125.07	1125070	1.09	1090															
1131.74	1131740	1132.54	1132540	0.8	800															
1168.37	1168370	1169.72	1169720	1.35	1350															
1874.7	1874700	1875.94	1875940	1.24	1240															
2504.82	2504820	2505.44	2505440	0.62	620															
2775.5	2775500	2776.3	2776300	0.8	800															
2882.95	2882950	2883.68	2883680	0.73	730															
2885.32	2885320	2886.12	2886120	0.8	800															
3035.58	3035580	3036.21	3036210	0.63	630															
3037.2	3037200	3037.8	3037800	0.6	600															
3192.11	3192110	3192.91	3192910	0.8	800															
3357.03	3357030	3357.63	3357630	0.6	600															
3394.2	3394200	3395.23	3395230	1.03	1030															
3434.82	3434820	3435.77	3435770	0.95	950															
3462.89	3462890	3463.69	3463690	0.8	800															
3470.08	3470080	3471.22	3471220	1.14	1140															
3514.84	3514840	3515.52	3515520	0.68	680															
3529.39	3529390	3529.99	3529990	0.6	600															
3540.11	3540110	3541.12	3541120	1.01	1010															
3541.12	3541120	3542.09	3542090	0.97	970															
3542.09	3542090	3543.2	3543200	1.11	1110															
3579.96	3579960	3580.56	3580560	0.6	600															
3603.49	3603490	3604.09	3604090	0.6	600															
3769.58	3769580	3770.38	3770380	0.8	800															
3776.85	3776850	3777.65	3777650	0.8	800															
3829.7	3829700	3831.43	3831430	1.73	1730															
3836.78	3836780	3837.86	3837860	1.08	1080															
3839.49	3839490	3840.29	3840290	0.8	800															
3852.13	3852130	3852.76	3852760	0.63	630															
3860.11	3860110	3861.76	3861760	1.65	1650															
3863.63	3863630	3864.44	3864440	0.81	810															
4012.35	4012350	4013.01	4013010	0.66	660															
4044.2	4044200	4045.22	4045220	1.02	1020															
4049.22	4049220	4049.83	4049830	0.61	610															
4059.83	4059830	4060.84	4060840	1.01	1010															
4061.84	4061840	4062.44	4062440	0.6	600															
4063.44	4063440	4064.05	4064050	0.61	610															
4065.06	4065060	4066.16	4066160	1.1	1100															
4069.45	4069450	4070.25	4070250	0.8	800															
4070.25	4070250	4070.9	4070900	0.65	650															
4076.46	4076460	4078.8	4078800	2.34	2340															
4084.56	4084560	4085.56	4085560	1.0	1000															
4085.56	4085560	4086.16	4086160	0.6	600															
4088.02	4088020	4089.82	4089820	1.8	1800															
4116.84	4116840	4117.67	4117670	0.83	830															
4121.83	4121830	4122.43	4122430	0.6	600															
4128.67	4128670	4129.58	4129580	0.91	910															
4164.43	4164430	4165.68	4165680	1.25	1250															
4277.37	4277370	4278.17	4278170	0.8	800															
4288.34	4288340	4289.25	4289250	0.91	910															
4303.07	4303070	4303.92	4303920	0.85	850															
4303.92	4303920	4304.52	4304520	0.6	600															
4304.52	4304520	4305.32	4305320	0.8	800															
4307.19	4307190	4310.56	4310560	3.37	3370															
4315.12	4315120	4315.92	4315920	0.8	800															
4345.12	4345120	4345.97	4345970	0.85	850															
4383.24	4383240	4383.87	4383870	0.63	630															
4395.02	4395020	4395.89	4395890	0.87	870															
4509.84	4509840	4511.17	4511170	1.33	1330															
4515.17	4515170	4515.97	4515970	0.8	800															
4591.59	4591590	4592.75	4592750	1.16	1160															
4681.86	4681860	4682.78	4682780	0.92	920															
4688.6	4688600	4689.4	4689400	0.8	800															
4691.86	4691860	4693.29	4693290	1.43	1430															
4803.95	4803950	4804.72	4804720	0.77	770															
4862.28	4862280	4863.08	4863080	0.8	800															
4923.43	4923430	4924.26	4924260	0.83	830															
4969.92	4969920	4970.52	4970520	0.6	600															
7081.96	7081960	7082.56	7082560	0.6	600															
7091.93	7091930	7092.53	7092530	0.6	600															
7108.77	7108770	7109.65	7109650	0.88	880															
7109.65	7109650	7110.33	7110330	0.68	680															
7113.91	7113910	7114.71	7114710	0.8	800															
7133.88	7133880	7134.7	7134700	0.82	820															
7135.83	7135830	7136.85	7136850	1.02	1020															
7170.43	7170430	7171.03	7171030	0.6	600															
7892.11	7892110	7892.71	7892710	0.6	600															
7893.51	7893510	7894.43	7894430	0.92	920															
7899.78	7899780	7900.74	7900740	0.96	960															
7960.52	7960520	7961.32	7961320	0.8	800															
7962.93	7962930	7964.0	7964000	1.07	1070															
7964.0	7964000	7965.16	7965160	1.16	1160															
7970.51	7970510	7971.26	7971260	0.75	750															
7971.26	7971260	7972.15	7972150	0.89	890															
7972.84	7972840	7975.24	7975240	2.4	2400															
7975.9	7975900	7978.98	7978980	3.08	3080															
7979.78	7979780	7980.85	7980850	1.07	1070															
7984.92	7984920	7987.03	7987030	2.11	2110															
7990.81	7990810	7991.63	7991630	0.82	820															
8012.44	8012440	8013.68	8013680	1.24	1240															
8037.67	8037670	8038.27	8038270	0.6	600															
8063.84	8063840	8064.52	8064520	0.68	680															
8070.41	8070410	8071.21	8071210	0.8	800															
8089.17	8089170	8090.08	8090080	0.91	910															
8090.68	8090680	8091.65	8091650	0.97	970															
8101.8	8101800	8102.97	8102970	1.17	1170															
8114.76	8114760	8115.56	8115560	0.8	800															
8116.56	8116560	8117.28	8117280	0.72	720															
8118.7	8118700	8119.3	8119300	0.6	600															
8279.45	8279450	8280.25	8280250	0.8	800															
8284.66	8284660	8285.26	8285260	0.6	600															
8286.83	8286830	8287.43	8287430	0.6	600															
8313.57	8313570	8314.53	8314530	0.96	960															
8317.23	8317230	8318.03	8318030	0.8	800															
8352.42	8352420	8353.04	8353040	0.62	620															
8545.52	8545520	8546.12	8546120	0.6	600															
8695.14	8695140	8695.74	8695740	0.6	600															
8782.39	8782390	8782.99	8782990	0.6	600															
8835.4	8835400	8836.67	8836670	1.27	1270															
8842.59	8842590	8843.39	8843390	0.8	800															
8864.71	8864710	8865.51	8865510	0.8	800															
8871.58	8871580	8872.8	8872800	1.22	1220															
8880.06	8880060	8880.82	8880820	0.76	760															
8888.33	8888330	8889.3	8889300	0.97	970															
8935.7	8935700	8936.53	8936530	0.83	830															
8937.81	8937810	8941.37	8941370	3.56	3560															
