Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
138.36	138360	139.18	139180	0.82	820															
190.28	190280	191.09	191090	0.81	810															
458.24	458240	459.23	459230	0.99	990															
880.19	880190	880.99	880990	0.8	800															
1113.56	1113560	1114.36	1114360	0.8	800															
1115.36	1115360	1116.16	1116160	0.8	800															
1482.74	1482740	1483.34	1483340	0.6	600															
1497.8	1497800	1498.4	1498400	0.6	600															
1507.4	1507400	1508.0	1508000	0.6	600															
1509.26	1509260	1511.74	1511740	2.48	2480															
1515.28	1515280	1516.59	1516590	1.31	1310															
1571.51	1571510	1572.38	1572380	0.87	870															
1576.41	1576410	1577.46	1577460	1.05	1050															
1583.68	1583680	1585.06	1585060	1.38	1380															
1605.61	1605610	1606.63	1606630	1.02	1020															
1606.63	1606630	1607.64	1607640	1.01	1010															
1607.64	1607640	1608.45	1608450	0.81	810															
1608.45	1608450	1609.71	1609710	1.26	1260															
1609.71	1609710	1610.66	1610660	0.95	950															
1660.32	1660320	1661.29	1661290	0.97	970															
1662.29	1662290	1663.1	1663100	0.81	810															
1663.72	1663720	1664.78	1664780	1.06	1060															
1777.21	1777210	1778.23	1778230	1.02	1020															
1813.42	1813420	1814.68	1814680	1.26	1260															
1886.52	1886520	1887.75	1887750	1.23	1230															
2080.26	2080260	2081.26	2081260	1.0	1000															
2131.2	2131200	2132.0	2132000	0.8	800															
2230.05	2230050	2231.06	2231060	1.01	1010															
3423.97	3423970	3424.57	3424570	0.6	600															
3441.44	3441440	3442.24	3442240	0.8	800															
3456.5	3456500	3457.5	3457500	1.0	1000															
3538.27	3538270	3540.19	3540190	1.92	1920															
3586.23	3586230	3587.4	3587400	1.17	1170															
3718.79	3718790	3719.39	3719390	0.6	600															
3795.27	3795270	3796.07	3796070	0.8	800															
3822.98	3822980	3823.79	3823790	0.81	810															
3925.19	3925190	3925.99	3925990	0.8	800															
3926.8	3926800	3927.85	3927850	1.05	1050															
3932.92	3932920	3933.52	3933520	0.6	600															
3974.12	3974120	3974.72	3974720	0.6	600															
3995.78	3995780	3996.38	3996380	0.6	600															
4051.82	4051820	4053.36	4053360	1.54	1540															
4063.52	4063520	4064.12	4064120	0.6	600															
4097.06	4097060	4097.86	4097860	0.8	800															
4116.94	4116940	4117.75	4117750	0.81	810															
4175.12	4175120	4176.54	4176540	1.42	1420															
4524.69	4524690	4525.53	4525530	0.84	840															
4823.27	4823270	4824.07	4824070	0.8	800															
4867.11	4867110	4867.72	4867720	0.61	610															
4903.4	4903400	4904.27	4904270	0.87	870															
4915.04	4915040	4915.86	4915860	0.82	820															
4921.22	4921220	4922.79	4922790	1.57	1570															
4927.78	4927780	4928.58	4928580	0.8	800															
5693.04	5693040	5693.84	5693840	0.8	800															
5703.67	5703670	5704.31	5704310	0.64	640															
6002.95	6002950	6003.82	6003820	0.87	870															
6037.32	6037320	6038.39	6038390	1.07	1070															
6092.16	6092160	6092.96	6092960	0.8	800															
6390.95	6390950	6392.6	6392600	1.65	1650															
6394.6	6394600	6395.6	6395600	1.0	1000															
6413.36	6413360	6414.61	6414610	1.25	1250															
