Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
3.95	3950	4.75	4750	0.8	800															
26.42	26420	27.15	27150	0.73	730															
63.4	63400	64.89	64890	1.49	1490															
65.69	65690	66.69	66690	1.0	1000															
66.69	66690	67.56	67560	0.87	870															
81.91	81910	82.71	82710	0.8	800															
95.44	95440	97.14	97140	1.7	1700															
105.87	105870	106.67	106670	0.8	800															
107.98	107980	110.29	110290	2.31	2310															
115.34	115340	116.02	116020	0.68	680															
120.27	120270	120.87	120870	0.6	600															
120.87	120870	121.81	121810	0.94	940															
123.35	123350	123.95	123950	0.6	600															
123.95	123950	126.31	126310	2.36	2360															
187.58	187580	188.38	188380	0.8	800															
442.44	442440	443.24	443240	0.8	800															
457.26	457260	458.06	458060	0.8	800															
559.19	559190	561.1	561100	1.91	1910															
617.95	617950	619.82	619820	1.87	1870															
619.82	619820	620.79	620790	0.97	970															
677.83	677830	678.77	678770	0.94	940															
682.91	682910	684.34	684340	1.43	1430															
689.27	689270	691.31	691310	2.04	2040															
695.28	695280	696.08	696080	0.8	800															
697.04	697040	698.38	698380	1.34	1340															
892.28	892280	893.33	893330	1.05	1050															
903.68	903680	904.66	904660	0.98	980															
907.21	907210	908.01	908010	0.8	800															
908.94	908940	910.35	910350	1.41	1410															
912.61	912610	913.66	913660	1.05	1050															
916.55	916550	919.45	919450	2.9	2900															
927.03	927030	928.69	928690	1.66	1660															
930.74	930740	931.61	931610	0.87	870															
948.77	948770	949.62	949620	0.85	850															
1021.25	1021250	1022.05	1022050	0.8	800															
1029.54	1029540	1032.5	1032500	2.96	2960															
1279.41	1279410	1282.77	1282770	3.36	3360															
1283.72	1283720	1284.76	1284760	1.04	1040															
1361.05	1361050	1361.85	1361850	0.8	800															
1425.03	1425030	1425.89	1425890	0.86	860															
1446.61	1446610	1449.3	1449300	2.69	2690															
1452.26	1452260	1455.31	1455310	3.05	3050															
1456.48	1456480	1457.33	1457330	0.85	850															
1458.36	1458360	1459.43	1459430	1.07	1070															
1460.45	1460450	1462.6	1462600	2.15	2150															
1465.67	1465670	1468.78	1468780	3.11	3110															
1469.84	1469840	1470.7	1470700	0.86	860															
1488.17	1488170	1489.18	1489180	1.01	1010															
1489.18	1489180	1490.43	1490430	1.25	1250															
1569.08	1569080	1569.73	1569730	0.65	650															
1615.1	1615100	1615.9	1615900	0.8	800															
1668.37	1668370	1670.26	1670260	1.89	1890															
1670.97	1670970	1671.83	1671830	0.86	860															
1754.46	1754460	1755.5	1755500	1.04	1040															
1756.85	1756850	1758.49	1758490	1.64	1640															
1765.97	1765970	1766.77	1766770	0.8	800															
1783.69	1783690	1784.68	1784680	0.99	990															
1985.38	1985380	1986.19	1986190	0.81	810															
2019.6	2019600	2020.2	2020200	0.6	600															
2043.55	2043550	2045.53	2045530	1.98	1980															
2171.83	2171830	2172.63	2172630	0.8	800															
2237.08	2237080	2237.68	2237680	0.6	600															
2743.92	2743920	2744.92	2744920	1.0	1000															
2746.31	2746310	2747.18	2747180	0.87	870															
2783.96	2783960	2785.63	2785630	1.67	1670															
2790.97	2790970	2792.61	2792610	1.64	1640															
2794.67	2794670	2796.21	2796210	1.54	1540															
2844.2	2844200	2845.13	2845130	0.93	930															
2846.03	2846030	2847.01	2847010	0.98	980															
2848.77	2848770	2851.2	2851200	2.43	2430															
2853.18	2853180	2855.82	2855820	2.64	2640															
3012.28	3012280	3012.88	3012880	0.6	600															
3035.37	3035370	3036.17	3036170	0.8	800															
3067.51	3067510	3068.72	3068720	1.21	1210															
3078.35	3078350	3079.29	3079290	0.94	940															
3083.62	3083620	3084.44	3084440	0.82	820															
3093.4	3093400	3094.2	3094200	0.8	800															
3095.03	3095030	3095.91	3095910	0.88	880															
3103.39	3103390	3103.99	3103990	0.6	600															
3105.52	3105520	3106.32	3106320	0.8	800															
3124.62	3124620	3126.51	3126510	1.89	1890															
3128.17	3128170	3128.78	3128780	0.61	610															
3130.53	3130530	3131.39	3131390	0.86	860															
3132.19	3132190	3132.99	3132990	0.8	800															
3139.76	3139760	3141.63	3141630	1.87	1870															
3141.63	3141630	3142.24	3142240	0.61	610															
3146.63	3146630	3147.43	3147430	0.8	800															
3165.41	3165410	3166.01	3166010	0.6	600															
3187.36	3187360	3188.95	3188950	1.59	1590															
3191.22	3191220	3192.38	3192380	1.16	1160															
3205.55	3205550	3207.37	3207370	1.82	1820															
3212.38	3212380	3213.18	3213180	0.8	800															
3215.79	3215790	3217.49	3217490	1.7	1700															
3270.51	3270510	3271.37	3271370	0.86	860															
3314.25	3314250	3315.79	3315790	1.54	1540															
3389.26	3389260	3390.07	3390070	0.81	810															
3393.59	3393590	3394.39	3394390	0.8	800															
3795.11	3795110	3795.95	3795950	0.84	840															
3798.79	3798790	3799.6	3799600	0.81	810															
3876.4	3876400	3877.77	3877770	1.37	1370															
3892.76	3892760	3893.41	3893410	0.65	650															
3933.77	3933770	3934.7	3934700	0.93	930															
3944.85	3944850	3945.65	3945650	0.8	800															
4077.02	4077020	4077.62	4077620	0.6	600															
4348.7	4348700	4349.3	4349300	0.6	600															
4350.69	4350690	4351.32	4351320	0.63	630															
4377.44	4377440	4378.24	4378240	0.8	800															
4474.39	4474390	4474.99	4474990	0.6	600															
4522.58	4522580	4523.46	4523460	0.88	880															
4754.66	4754660	4755.7	4755700	1.04	1040															
5112.7	5112700	5113.55	5113550	0.85	850															
7545.74	7545740	7546.58	7546580	0.84	840															
7565.86	7565860	7566.47	7566470	0.61	610															
7963.79	7963790	7964.86	7964860	1.07	1070															
9041.29	9041290	9042.15	9042150	0.86	860															
9084.4	9084400	9085.23	9085230	0.83	830															
9087.46	9087460	9089.98	9089980	2.52	2520															
9090.78	9090780	9092.53	9092530	1.75	1750															
9093.33	9093330	9095.29	9095290	1.96	1960															
9106.86	9106860	9107.66	9107660	0.8	800															
9108.65	9108650	9110.38	9110380	1.73	1730															
9116.46	9116460	9117.17	9117170	0.71	710															
9117.17	9117170	9118.55	9118550	1.38	1380															
9124.7	9124700	9127.91	9127910	3.21	3210															
9141.43	9141430	9142.29	9142290	0.86	860															
9146.17	9146170	9147.13	9147130	0.96	960															
9153.36	9153360	9154.45	9154450	1.09	1090															
9157.05	9157050	9157.95	9157950	0.9	900															
9158.75	9158750	9160.56	9160560	1.81	1810															
9161.36	9161360	9163.96	9163960	2.6	2600															
9164.97	9164970	9165.78	9165780	0.81	810															
9166.95	9166950	9167.76	9167760	0.81	810															
9173.6	9173600	9174.45	9174450	0.85	850															
9175.36	9175360	9176.78	9176780	1.42	1420															
9183.57	9183570	9184.48	9184480	0.91	910															
9185.28	9185280	9186.59	9186590	1.31	1310															
9188.25	9188250	9189.05	9189050	0.8	800															
9194.08	9194080	9194.89	9194890	0.81	810															
9198.42	9198420	9200.93	9200930	2.51	2510															
9202.06	9202060	9202.87	9202870	0.81	810															
9228.08	9228080	9228.88	9228880	0.8	800															
