,Action,Start,End,Duration
0,&=crying,00:00:00.000,00:00:00.000,00:00:00.000
1,&=crying,00:02:53.790,00:02:54.400,00:00:00.610
2,&=crying,00:07:47.150,00:07:47.470,00:00:00.320
3,&=crying,00:09:39.040,00:09:39.410,00:00:00.370
4,&=crying,00:09:56.430,00:09:56.550,00:00:00.120
5,&=crying,00:11:10.420,00:11:10.690,00:00:00.270
6,&=crying,00:11:11.760,00:11:13.130,00:00:01.370
7,&=crying,00:12:50.270,00:12:50.760,00:00:00.490
8,&=crying,00:12:55.560,00:12:56.170,00:00:00.610
9,&=crying,00:15:08.640,00:15:09.390,00:00:00.750
10,&=crying,00:15:45.530,00:15:45.700,00:00:00.170
11,&=crying,00:16:57.570,00:16:58.200,00:00:00.630
12,&=crying,00:18:40.190,00:18:40.620,00:00:00.430
13,&=crying,00:20:00.240,00:20:01.170,00:00:00.930
14,&=crying,00:21:52.590,00:21:53.070,00:00:00.480
15,&=crying,00:22:54.710,00:22:54.900,00:00:00.190
16,&=crying,00:23:02.100,00:23:02.700,00:00:00.600
17,&=crying,00:23:04.760,00:23:05.410,00:00:00.650
18,&=crying,00:23:06.520,00:23:07.100,00:00:00.580
19,&=crying,00:23:07.100,00:23:08.670,00:00:01.570
20,&=crying,00:27:57.150,00:27:57.750,00:00:00.600
21,&=crying,00:32:53.460,00:32:54.380,00:00:00.920
22,&=crying,00:34:05.210,00:34:05.330,00:00:00.120
23,&=crying,00:36:33.500,00:36:34.100,00:00:00.600
24,&=crying,00:37:04.590,00:37:05.190,00:00:00.600
25,&=crying,00:37:11.440,00:37:11.810,00:00:00.370
26,&=crying,00:37:17.630,00:37:19.030,00:00:01.400
27,&=crying,00:37:39.420,00:37:40.170,00:00:00.750
28,&=crying,00:37:44.520,00:37:46.680,00:00:02.160
29,&=crying,00:37:47.010,00:37:48.760,00:00:01.750
30,&=crying,00:38:39.350,00:38:39.700,00:00:00.350
31,&=crying,00:39:03.850,00:39:04.470,00:00:00.620
32,&=crying,00:39:42.310,00:39:42.920,00:00:00.610
33,&=crying,00:40:04.710,00:40:05.630,00:00:00.920
34,&=crying,00:42:46.130,00:42:46.730,00:00:00.600
35,&=crying,00:42:49.980,00:42:50.630,00:00:00.650
