,Time,Action,Testing1,Testing3
0,0.0,,0,0
1,0.1,,0,0
2,0.2,,0,0
3,0.3,,0,0
4,0.4,,0,0
5,0.5,,0,0
6,0.6,,0,0
7,0.7,,0,0
8,0.8,,0,0
9,0.9,,0,0
10,1.0,,0,0
11,1.1,,0,0
12,1.2,,0,0
13,1.3,,0,0
14,1.4,,0,0
15,1.5,,0,0
16,1.6,Testing1,1,0
17,1.7,Testing1,1,0
18,1.8,Testing1,1,0
19,1.9,Testing1,1,0
20,2.0,Testing1,1,0
21,2.1,Testing1,1,0
22,2.2,Testing1,1,0
23,2.3,Testing1,1,0
24,2.4,Testing1,1,0
25,2.5,Testing1,1,0
26,2.6,Testing1,1,0
27,2.7,Testing1,1,0
28,2.8,Testing1,1,0
29,2.9,Testing1,1,0
30,3.0,Testing1,1,0
31,3.1,Testing1,1,0
32,3.2,Testing1,1,0
33,3.3,Testing1,1,0
34,3.4,Testing1,1,0
35,3.5,Testing1,1,0
36,3.6,Testing1,1,0
37,3.7,Testing1,1,0
38,3.8,Testing1,1,0
39,3.9,Testing1,1,0
40,4.0,Testing1,1,0
41,4.1,Testing1,1,0
42,4.2,Testing1,1,0
43,4.3,Testing1,1,0
44,4.4,Testing1,1,0
45,4.5,Testing1,1,0
46,4.6,Testing1,1,0
47,4.7,Testing1,1,0
48,4.8,Testing1,1,0
49,4.9,Testing1,1,0
50,5.0,Testing1,1,0
51,5.1,Testing1,1,0
52,5.2,Testing1,1,0
53,5.3,,0,0
54,5.4,,0,0
55,5.5,,0,0
56,5.6,,0,0
57,5.7,,0,0
58,5.8,,0,0
59,5.9,,0,0
60,6.0,,0,0
61,6.1,,0,0
62,6.2,,0,0
63,6.3,,0,0
64,6.4,,0,0
65,6.5,,0,0
66,6.6,,0,0
67,6.7,,0,0
68,6.8,,0,0
69,6.9,,0,0
70,7.0,,0,0
71,7.1,,0,0
72,7.2,,0,0
73,7.3,Testing3,0,1
74,7.4,Testing3,0,1
75,7.5,Testing3,0,1
76,7.6,Testing3,0,1
77,7.7,Testing3,0,1
78,7.8,Testing3,0,1
79,7.9,Testing3,0,1
80,8.0,Testing3,0,1
81,8.1,Testing3,0,1
82,8.2,Testing3,0,1
83,8.3,Testing3,0,1
84,8.4,Testing3,0,1
85,8.5,Testing3,0,1
86,8.6,Testing3,0,1
87,8.7,Testing3,0,1
88,8.8,Testing3,0,1
89,8.9,Testing3,0,1
90,9.0,Testing3,0,1
91,9.1,Testing3,0,1
92,9.2,Testing3,0,1
93,9.3,Testing3,0,1
94,9.4,Testing3,0,1
95,9.5,Testing3,0,1
96,9.6,Testing3,0,1
97,9.7,Testing3,0,1
98,9.8,Testing3,0,1
99,9.9,Testing3,0,1
100,10.0,Testing3,0,1
101,10.1,Testing3,0,1
102,10.2,Testing3,0,1
103,10.3,Testing3,0,1
104,10.4,Testing3,0,1
105,10.5,Testing3,0,1
106,10.6,Testing3,0,1
107,10.7,Testing3,0,1
108,10.8,Testing3,0,1
109,10.9,Testing3,0,1
110,11.0,Testing3,0,1
111,11.1,Testing3,0,1
