,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:00:00.000,00:17:53.790,23.7,0.02
1,,00:23:13.200,00:29:16.160,4.9,0.01
2,,00:36:40.760,00:40:03.460,21.7,0.11
3,,01:09:25.880,01:18:33.220,10.7,0.02
4,,06:19:30.090,06:22:48.310,1.0,0.01
5,,07:53:33.850,07:53:44.980,0.9,0.08
6,,09:22:55.110,09:26:59.330,0.3,0.00
7,,11:43:09.000,11:43:39.990,1.1,0.04
8,,14:01:23.220,14:20:46.110,25.8,0.02
9,,14:34:41.410,14:37:31.560,2.9,0.02
10,,14:43:02.230,14:51:59.860,13.0,0.02
11,,15:21:46.820,15:28:49.590,4.8,0.01
