,Category,Begin Time,End Time,&=crying duration,&=crying density,&=crying max duration,&=crying mean duration
0,,00:09:39.040,00:09:56.550,0.5,0.03,0.5,0.5
1,,00:11:10.420,00:11:13.130,1.7,0.63,1.3,0.8
2,,00:12:50.270,00:12:56.170,1.1,0.19,0.6,0.5
3,,00:15:08.640,00:15:45.700,0.9,0.02,0.9,0.9
4,,00:22:54.710,00:23:08.670,3.4,0.24,1.7,0.8
5,,00:36:33.500,00:40:05.630,10.7,0.05,2.3,0.9
6,,00:42:46.130,00:42:50.630,0.8,0.18,0.7,0.4
7,,00:46:29.550,00:46:52.360,1.0,0.04,0.8,0.5
8,,00:48:33.860,00:48:37.510,1.3,0.36,0.8,0.6
9,,00:54:37.990,00:54:44.020,2.5,0.41,1.9,1.2
10,,00:58:53.890,00:58:57.680,1.3,0.34,0.7,0.6
11,,01:01:10.900,01:02:23.870,6.9,0.09,2.3,1.1
12,,01:04:22.840,01:05:49.780,9.2,0.11,3.5,1.8
13,,01:08:43.840,01:09:00.660,5.9,0.35,3.2,1.9
14,,01:52:57.400,01:53:35.590,6.3,0.16,2.2,1.2
15,yes,01:55:42.810,01:56:54.660,14.9,0.21,5.4,1.8
16,yes,01:58:18.970,01:58:46.570,1.1,0.04,1.1,1.1
17,no,02:00:10.030,02:00:32.650,0.3,0.01,0.3,0.3
18,yes,02:04:26.520,02:06:49.410,45.9,0.32,11.1,4.5
19,yes,02:09:20.640,02:09:58.850,22.3,0.58,6.6,3.1
20,yes,02:12:56.650,02:19:37.110,179.5,0.45,16.4,3.4
21,yes,02:33:43.090,02:35:08.680,3.0,0.04,1.9,0.6
22,yes,02:39:12.000,02:40:16.760,5.6,0.09,2.2,1.1
23,yes,02:46:27.090,02:49:53.180,38.8,0.19,7.1,1.7
24,no,02:51:21.590,02:51:23.050,1.5,1.03,1.1,0.7
25,yes,02:55:33.890,02:57:25.050,42.4,0.38,11.1,2.8
26,no,03:01:49.700,03:02:41.280,2.0,0.04,0.8,0.6
27,no,03:04:50.780,03:06:01.860,1.4,0.02,0.7,0.7
28,no,03:07:10.760,03:07:28.420,2.8,0.16,1.2,0.9
29,no,03:09:17.990,03:11:43.510,6.0,0.04,2.5,1.0
30,no,03:15:11.440,03:19:35.040,19.9,0.08,2.6,1.4
31,yes,03:22:00.650,03:23:14.060,2.9,0.04,0.9,0.7
32,no,03:28:04.110,03:28:09.470,1.0,0.19,0.7,0.5
33,no,03:32:01.230,03:32:52.030,1.9,0.04,1.2,0.9
34,no,03:33:56.310,03:34:21.750,0.7,0.03,0.7,0.7
35,yes,03:38:56.440,03:40:31.470,27.0,0.28,10.2,2.4
36,yes,03:42:43.750,03:43:04.750,2.0,0.10,0.7,0.5
37,yes,03:45:10.340,03:45:35.440,2.6,0.10,1.5,0.8
38,no,03:47:46.160,03:47:54.770,0.2,0.02,0.2,0.2
39,,03:49:04.980,03:50:14.050,0.4,0.01,0.2,0.2
40,,03:51:46.400,03:53:22.400,25.4,0.26,9.2,2.5
41,,03:56:00.980,04:04:47.700,158.3,0.30,14.9,2.5
42,,04:06:06.120,04:06:10.720,1.0,0.22,0.6,0.5
43,,04:10:04.230,04:14:42.350,121.8,0.44,24.6,4.0
44,,04:18:19.430,04:18:30.320,9.2,0.84,4.5,3.0
45,,05:59:03.890,06:00:42.750,4.5,0.05,2.0,0.9
46,,06:11:35.120,06:12:08.690,1.8,0.05,0.8,0.6
47,,06:13:15.910,06:14:02.630,2.0,0.04,1.0,0.6
48,,06:19:42.660,06:20:14.590,5.9,0.18,2.8,1.1
49,,06:28:11.110,06:28:25.500,2.7,0.19,1.1,0.9
50,,06:31:43.310,06:31:55.800,1.6,0.13,1.1,0.8
51,,06:34:33.410,06:35:18.300,8.5,0.19,3.9,1.7
52,,06:41:51.870,06:42:21.070,5.8,0.20,2.9,0.9
53,,06:47:44.380,06:49:25.070,30.7,0.30,7.1,3.0
54,,06:58:15.940,06:58:22.520,1.1,0.17,1.1,1.1
55,,07:00:47.590,07:04:33.480,142.2,0.63,19.7,5.4
56,,07:06:00.090,07:07:32.860,9.7,0.10,3.2,1.3
57,,07:09:58.410,07:10:06.320,4.1,0.52,1.5,1.0
58,,07:12:02.550,07:12:07.080,0.5,0.11,0.3,0.2
59,,07:14:09.960,07:15:51.800,11.2,0.11,4.6,1.6
60,,07:17:46.940,07:19:51.050,34.2,0.28,8.3,3.1
61,,07:23:02.280,07:23:37.360,4.1,0.12,2.1,1.0
62,,07:29:48.220,07:30:55.620,4.7,0.07,2.0,1.5
63,,07:36:41.480,07:37:49.850,22.4,0.33,6.2,1.4
64,,07:49:38.090,07:51:03.540,5.2,0.06,1.4,0.7
65,,07:52:57.850,07:54:40.080,4.8,0.05,0.9,0.6
66,,07:57:07.750,07:59:34.750,28.3,0.19,6.9,1.5
67,,08:57:05.590,09:10:34.440,254.1,0.31,22.7,3.1
68,,09:13:24.190,09:13:25.650,0.5,0.34,0.5,0.5
69,,09:17:07.800,09:17:14.930,0.8,0.11,0.8,0.8
70,,09:21:36.580,09:22:05.910,1.8,0.06,1.8,1.8
71,,09:23:17.310,09:23:31.560,2.4,0.17,1.2,0.8
72,,09:24:38.520,09:25:58.500,12.5,0.16,2.5,0.9
73,,09:27:11.420,09:27:36.620,3.9,0.15,0.9,0.6
74,,09:28:42.730,09:36:58.850,114.7,0.23,5.1,1.6
75,,09:38:00.670,09:39:43.910,24.6,0.24,6.1,1.8
76,,09:46:03.530,09:46:06.280,1.2,0.44,0.7,0.6
77,,09:52:15.840,09:56:29.860,72.9,0.29,7.9,1.4
78,,09:59:44.830,10:04:09.060,85.9,0.33,10.1,2.8
79,,10:05:17.600,10:05:44.990,1.7,0.06,1.3,0.8
80,,10:09:25.570,10:13:28.200,65.1,0.27,14.6,2.6
81,,10:16:34.900,10:16:44.700,2.0,0.20,0.9,0.6
82,,10:20:20.690,10:22:47.940,17.1,0.12,6.7,2.4
83,,10:28:02.080,10:32:26.440,18.6,0.07,1.5,0.9
84,,10:33:52.640,10:34:41.450,9.3,0.19,5.3,1.8
85,,10:36:32.880,10:37:08.350,17.4,0.49,4.1,2.1
86,,10:41:53.110,10:41:57.340,4.1,0.97,4.1,4.1
87,,10:44:59.950,10:47:07.150,62.0,0.49,8.6,2.4
88,,10:50:55.350,10:53:42.340,23.7,0.14,3.1,1.2
89,,10:55:42.110,10:58:28.730,67.3,0.40,5.8,1.7
90,,11:01:45.500,11:08:08.270,135.3,0.35,10.2,2.2
91,,11:14:48.470,11:15:27.040,1.1,0.03,0.5,0.3
92,,11:18:34.480,11:19:09.420,15.8,0.45,4.5,1.7
93,,11:21:26.890,11:22:05.110,5.6,0.15,1.5,1.1
94,,11:30:13.200,11:30:45.600,0.4,0.01,0.4,0.4
95,,11:40:23.660,11:46:38.710,180.3,0.48,31.0,5.4
96,,11:48:18.920,11:48:21.270,1.0,0.43,0.8,0.5
97,,11:49:27.520,11:56:50.720,129.9,0.29,20.1,3.4
98,,11:59:09.590,12:08:57.700,283.0,0.48,28.8,5.3
