,Categorized Episode (Start to End) Duration,Episode (Start to End) Duration,Episode Count above Max Threshold,Episode Duration above Max Threshold - Actual Duration Analyzed,Participant,Total Categorized Episodes,Total Categorized Episodes Duration Sum - Actual Duration Analyzed,Total Duration - Actual Duration Analyzed,Total Occurring Episodes,Total Duration of Participant,% Episode Start to End / Total,% Episode Analyzed / Total
0,39074.21,54968.9,6,895.29,p2_pre _e20160630_175407_013089_1_Min_Density.csv,14,1202.88,4816.78,60,56569.82,97.17001044,8.514752212
1,19956.21,45039.54,1,8.59,p3 post _ e20160710_123024_013089_1_Min_Density.csv,13,523.68,1689.21,32,56541.41,79.65761731,2.987562567
2,16575.01,23764.22,2,321.45,p3 pre_e20160705_171307_013088_1_Min_Density.csv,11,733.27,1837.63,37,56026.89,42.41574001,3.279907202
3,46426.44,56097.28,0,0,p4 post_ e20160710_123200_013088_1_Min_Density.csv,16,1164.39,4306.95,48,56620.13,99.07656517,7.606746929
4,38056.25,57120.63,6,984.22,p5 post_ e20160830_152743_013088_1_Min_Density.csv,18,1548.12,5627.09,56,57524.43,99.29803737,9.782087367
5,44251.14,57122.37,1,189.01,P5 pre _ e20160718_141513_013088_1_Min_Density.csv,14,838.66,6982.08,78,57405.72,99.50640807,12.16269041
6,11378.92,47260.19,5,786.71,p6 post _ e20160830_153103_013089_1_Min_Density.csv,23,1562,10338.03,113,57421.76,82.30362497,18.00368014
7,36794.89,43158.66,7,1065.69,p6 pre_ e20160718_142108_013089_1_Min_Density.csv,24,2026.88,10302.07,100,53121.84,81.24466321,19.39328532
,,,,,,,,,,,,
,,,,,,133,,,,,,
,,,,,,,,,524,,85.08408332,10.21633902
,,,,,,,0.209148441,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,65.66767081,,,,,,,,,,,
,,,,,,,25.38167939,,,,,
