,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:05:37.240,00:05:51.930,0.0,0.00
1,,00:07:55.680,00:15:11.820,19.6,0.04
2,,00:16:44.170,00:19:31.620,13.7,0.08
3,,00:54:35.530,00:57:27.790,3.9,0.02
4,,00:58:50.990,00:59:08.870,2.5,0.14
5,,01:01:27.750,01:04:00.980,8.0,0.05
6,,01:07:25.220,01:08:27.230,13.8,0.22
7,,01:11:36.970,01:12:04.330,0.0,0.00
8,,01:19:43.940,01:22:45.440,13.3,0.07
9,,01:57:47.280,02:00:21.350,9.3,0.06
10,,02:11:41.710,02:11:47.490,0.7,0.12
11,,02:12:55.240,02:15:14.630,7.0,0.05
12,,02:18:29.440,02:19:06.810,8.2,0.22
13,,02:23:15.020,02:23:30.630,1.4,0.09
14,,02:27:14.890,02:29:45.130,28.6,0.19
15,,02:34:25.580,02:35:11.480,14.3,0.31
16,,03:00:46.510,03:02:39.210,24.4,0.22
17,,03:11:02.460,03:11:54.170,0.9,0.02
18,,03:21:09.260,03:21:48.500,4.2,0.11
19,,03:37:58.590,03:38:03.730,0.0,0.00
20,,03:52:49.850,03:54:58.950,7.5,0.06
21,,04:28:57.550,04:29:09.670,0.0,0.00
22,yes,04:30:31.930,04:37:02.800,44.8,0.11
23,yes,04:38:03.780,04:41:47.390,38.7,0.17
24,yes,05:07:26.680,05:07:30.060,0.0,0.00
25,yes,05:10:40.890,05:11:24.550,4.7,0.11
26,yes,05:13:36.900,05:16:01.610,18.7,0.13
27,yes,05:20:57.110,05:21:15.460,1.3,0.07
28,no,05:22:29.920,05:23:09.810,0.0,0.00
29,yes,05:24:53.650,05:26:15.430,0.7,0.01
30,yes,05:30:07.030,05:31:39.110,12.4,0.13
31,yes,05:37:07.740,05:37:24.410,3.9,0.23
32,yes,05:46:57.830,05:47:31.240,4.0,0.12
33,yes,06:33:21.690,06:33:29.210,0.0,0.00
34,yes,06:35:06.300,06:35:33.300,2.3,0.09
35,yes,07:45:07.700,07:46:27.650,3.6,0.05
36,,07:48:34.840,07:49:26.510,1.6,0.03
37,,07:53:02.790,07:53:28.510,0.0,0.00
38,,07:57:12.430,07:59:59.190,5.2,0.03
39,,11:55:18.410,11:55:28.890,0.6,0.06
40,,11:56:53.320,11:57:35.210,1.8,0.04
41,,12:51:47.260,12:52:08.660,0.7,0.03
42,,12:55:46.940,12:57:36.500,2.4,0.02
43,,12:59:20.310,12:59:53.580,0.0,0.00
44,,13:01:11.910,13:03:44.000,0.7,0.00
45,,13:16:00.640,13:16:08.020,0.6,0.08
46,,13:44:41.370,13:45:57.690,0.0,0.00
47,,13:53:00.120,13:53:03.380,0.0,0.00
48,,13:56:42.050,13:58:09.290,8.0,0.09
49,,13:59:12.890,13:59:56.770,0.6,0.01
50,,14:01:33.050,14:02:03.540,1.6,0.05
51,,14:08:59.410,14:09:31.990,1.3,0.04
52,,14:10:44.140,14:12:13.330,5.8,0.07
53,,14:16:56.710,14:17:28.420,0.4,0.01
54,,14:18:58.270,14:19:13.340,1.0,0.07
55,,15:09:50.010,15:10:07.910,0.4,0.02
56,,15:12:23.790,15:12:52.870,0.6,0.02
57,,15:13:55.630,15:18:52.120,12.2,0.04
58,,15:19:56.560,15:21:46.140,14.4,0.13
