,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:09:39.040,00:09:56.550,4.9,0.28
1,,00:11:10.420,00:11:13.130,0.0,0.00
2,,00:12:50.270,00:12:56.170,0.7,0.12
3,,00:15:08.640,00:15:45.700,6.9,0.19
4,,00:22:54.710,00:23:08.670,2.3,0.16
5,,00:36:33.500,00:40:05.630,42.5,0.20
6,,00:42:46.130,00:42:50.630,0.0,0.00
7,,00:46:29.550,00:46:52.360,1.2,0.05
8,,00:48:33.860,00:48:37.510,0.0,0.00
9,,00:54:37.990,00:54:44.020,0.0,0.00
10,,00:58:53.890,00:58:57.680,0.2,0.05
11,,01:01:10.900,01:02:23.870,6.1,0.08
12,,01:04:22.840,01:05:49.780,24.0,0.28
13,,01:08:43.840,01:09:00.660,3.6,0.21
14,,01:52:57.400,01:53:35.590,2.1,0.05
15,yes,01:55:42.810,01:56:54.660,0.0,0.00
16,yes,01:58:18.970,01:58:46.570,1.7,0.06
17,no,02:00:10.030,02:00:32.650,0.0,0.00
18,yes,02:04:26.520,02:06:49.410,21.2,0.15
19,yes,02:09:20.640,02:09:58.850,6.3,0.16
20,yes,02:12:56.650,02:19:37.110,30.7,0.08
21,yes,02:33:43.090,02:35:08.680,31.7,0.37
22,yes,02:39:12.000,02:40:16.760,12.7,0.20
23,yes,02:46:27.090,02:49:53.180,23.6,0.11
24,no,02:51:21.590,02:51:23.050,0.1,0.07
25,yes,02:55:33.890,02:57:25.050,9.6,0.09
26,no,03:01:49.700,03:02:41.280,0.7,0.01
27,no,03:04:50.780,03:06:01.860,0.0,0.00
28,no,03:07:10.760,03:07:28.420,0.0,0.00
29,no,03:09:17.990,03:11:43.510,1.9,0.01
30,no,03:15:11.440,03:19:35.040,3.6,0.01
31,yes,03:22:00.650,03:23:14.060,0.7,0.01
32,no,03:28:04.110,03:28:09.470,0.0,0.00
33,no,03:32:01.230,03:32:52.030,0.0,0.00
34,no,03:33:56.310,03:34:21.750,0.0,0.00
35,yes,03:38:56.440,03:40:31.470,8.6,0.09
36,yes,03:42:43.750,03:43:04.750,1.7,0.08
37,yes,03:45:10.340,03:45:35.440,0.5,0.02
38,no,03:47:46.160,03:47:54.770,0.0,0.00
39,,03:49:04.980,03:50:14.050,2.3,0.03
40,,03:51:46.400,03:53:22.400,17.2,0.18
41,,03:56:00.980,04:04:47.700,42.7,0.08
42,,04:06:06.120,04:06:10.720,0.6,0.13
43,,04:10:04.230,04:14:42.350,12.2,0.04
44,,04:18:19.430,04:18:30.320,0.0,0.00
45,,05:59:03.890,06:00:42.750,1.8,0.02
46,,06:11:35.120,06:12:08.690,3.2,0.10
47,,06:13:15.910,06:14:02.630,10.1,0.22
48,,06:19:42.660,06:20:14.590,5.0,0.16
49,,06:28:11.110,06:28:25.500,1.2,0.08
50,,06:31:43.310,06:31:55.800,0.0,0.00
51,,06:34:33.410,06:35:18.300,16.5,0.37
52,,06:41:51.870,06:42:21.070,0.7,0.02
53,,06:47:44.380,06:49:25.070,8.2,0.08
54,,06:58:15.940,06:58:22.520,2.1,0.32
55,,07:00:47.590,07:04:33.480,5.8,0.03
56,,07:06:00.090,07:07:32.860,5.2,0.06
57,,07:09:58.410,07:10:06.320,0.0,0.00
58,,07:12:02.550,07:12:07.080,0.0,0.00
59,,07:14:09.960,07:15:51.800,11.7,0.11
60,,07:17:46.940,07:19:51.050,12.6,0.10
61,,07:23:02.280,07:23:37.360,1.3,0.04
62,,07:29:48.220,07:30:55.620,1.4,0.02
63,,07:36:41.480,07:37:49.850,6.9,0.10
64,,07:49:38.090,07:51:03.540,2.2,0.03
65,,07:52:57.850,07:54:40.080,9.9,0.10
66,,07:57:07.750,07:59:34.750,11.0,0.07
67,,08:57:05.590,09:10:34.440,96.7,0.12
68,,09:13:24.190,09:13:25.650,0.0,0.00
69,,09:17:07.800,09:17:14.930,0.0,0.00
70,,09:21:36.580,09:22:05.910,3.5,0.12
71,,09:23:17.310,09:23:31.560,0.0,0.00
72,,09:24:38.520,09:25:58.500,2.1,0.03
73,,09:27:11.420,09:27:36.620,0.7,0.03
74,,09:28:42.730,09:36:58.850,43.9,0.09
75,,09:38:00.670,09:39:43.910,19.0,0.18
76,,09:46:03.530,09:46:06.280,0.0,0.00
77,,09:52:15.840,09:56:29.860,50.3,0.20
78,,09:59:44.830,10:04:09.060,27.5,0.10
79,,10:05:17.600,10:05:44.990,0.0,0.00
80,,10:09:25.570,10:13:28.200,11.3,0.05
81,,10:16:34.900,10:16:44.700,0.2,0.02
82,,10:20:20.690,10:22:47.940,0.0,0.00
83,,10:28:02.080,10:32:26.440,35.4,0.13
84,,10:33:52.640,10:34:41.450,3.2,0.07
85,,10:36:32.880,10:37:08.350,4.2,0.12
86,,10:41:53.110,10:41:57.340,0.0,0.00
87,,10:44:59.950,10:47:07.150,8.0,0.06
88,,10:50:55.350,10:53:42.340,9.2,0.06
89,,10:55:42.110,10:58:28.730,32.7,0.20
90,,11:01:45.500,11:08:08.270,51.6,0.13
91,,11:14:48.470,11:15:27.040,0.0,0.00
92,,11:18:34.480,11:19:09.420,0.0,0.00
93,,11:21:26.890,11:22:05.110,2.7,0.07
94,,11:30:13.200,11:30:45.600,3.3,0.10
95,,11:40:23.660,11:46:38.710,13.3,0.04
96,,11:48:18.920,11:48:21.270,0.0,0.00
97,,11:49:27.520,11:56:50.720,69.1,0.16
98,,11:59:09.590,12:08:57.700,120.4,0.20
