,Category,Begin Time,End Time,&=crying duration,&=crying density
0,,00:01:50.180,00:01:58.220,0.7,0.09
1,,01:00:27.690,01:00:29.600,0.4,0.21
2,,01:04:42.400,01:06:14.300,1.4,0.02
3,,01:09:40.850,01:12:27.830,26.8,0.16
4,,01:15:19.990,01:16:39.690,5.4,0.07
5,,02:05:21.010,02:07:07.130,51.9,0.49
6,,02:10:18.490,02:13:55.520,106.0,0.49
7,,04:12:15.120,04:13:10.640,0.7,0.01
8,,04:14:11.970,04:14:27.150,2.0,0.13
9,,04:31:40.640,04:32:26.340,0.5,0.01
10,,04:43:31.450,04:43:51.450,1.6,0.08
11,,04:45:01.540,04:46:22.700,5.4,0.07
12,,04:56:00.090,04:56:36.920,11.7,0.32
13,,05:07:55.280,05:08:33.780,1.6,0.04
14,,05:13:27.180,05:14:20.070,2.3,0.04
15,yes,05:19:34.560,05:19:38.220,2.4,0.66
16,no,05:21:48.020,05:22:14.540,1.1,0.04
17,yes,05:36:52.930,05:37:53.220,30.7,0.51
18,yes,05:48:30.120,05:48:54.230,1.2,0.05
19,yes,05:52:08.160,05:55:13.190,55.7,0.30
20,yes,05:57:21.020,05:58:01.290,20.4,0.51
21,yes,06:32:53.530,06:34:31.400,39.7,0.41
22,yes,06:43:16.520,06:43:49.970,4.0,0.12
23,yes,08:27:44.300,08:28:18.700,4.8,0.14
24,yes,08:30:12.100,08:31:58.390,31.6,0.30
25,yes,08:34:39.430,08:35:35.820,15.2,0.27
26,yes,08:37:40.390,08:39:46.090,37.4,0.30
27,no,08:49:15.050,08:49:17.300,0.1,0.04
28,yes,09:02:13.850,09:02:15.620,1.3,0.73
29,yes,09:07:51.420,09:14:58.400,74.0,0.17
30,yes,09:19:05.540,09:22:58.650,71.5,0.31
31,yes,09:25:12.850,09:26:11.240,5.6,0.10
32,yes,09:31:30.470,09:32:02.110,5.9,0.19
33,,09:37:15.850,09:38:27.910,6.0,0.08
34,,09:41:07.750,09:41:41.580,4.4,0.13
35,,11:53:42.990,11:55:10.350,5.4,0.06
36,,11:56:50.800,12:15:05.860,519.0,0.47
37,,12:22:44.460,12:23:27.490,1.1,0.03
38,,12:39:02.380,12:39:30.180,1.1,0.04
39,,12:42:31.750,12:44:14.630,1.6,0.02
40,,12:48:58.570,12:49:49.810,0.6,0.01
41,,12:55:58.650,12:56:32.320,0.7,0.02
42,,13:01:29.000,13:01:33.420,0.5,0.11
43,,13:03:53.830,13:06:43.480,11.6,0.07
44,,13:08:25.430,13:09:15.560,0.5,0.01
45,,13:15:06.500,13:16:13.090,5.7,0.09
46,,13:19:43.220,13:20:54.500,18.2,0.26
47,,13:23:58.720,13:24:58.070,3.6,0.06
48,,13:26:36.080,13:30:41.050,9.6,0.04
49,,13:32:06.400,13:33:24.320,4.5,0.06
50,,13:46:27.850,13:47:21.980,22.6,0.42
51,,15:18:40.040,15:21:45.660,39.8,0.21
52,,15:27:24.780,15:33:53.830,134.2,0.34
53,,15:39:52.850,15:42:10.600,9.6,0.07
54,,15:53:47.090,15:53:50.810,1.4,0.38
