,Time,Action
0,00:02:05.4,&=crying
1,00:02:05.5,&=crying
2,00:02:05.6,&=crying
3,00:02:05.7,&=vfx
4,00:02:06.8,&=vocalization
5,00:02:06.9,&=vocalization
6,00:02:19.5,&=vfx
7,00:02:19.6,&=vfx
8,00:02:19.7,&=vfx
9,00:02:19.8,&=vfx
10,00:02:19.9,&=vfx
11,00:02:20.0,&=vfx
12,00:02:20.1,&=vfx
13,00:02:20.2,&=vfx
14,00:02:20.3,&=vfx
15,00:02:52.7,&=crying
16,00:02:52.8,&=crying
17,00:02:52.9,&=crying
18,00:02:53.0,&=crying
19,00:02:53.1,&=crying
20,00:02:53.2,&=vfx
21,00:02:53.3,&=vfx
22,00:02:53.4,&=vfx
23,00:03:09.9,&=vfx
24,00:03:10.0,&=vfx
25,00:03:10.1,&=vfx
26,00:03:10.2,&=vfx
27,00:03:10.3,&=vfx
28,00:03:10.4,&=vfx
29,00:03:10.5,&=vfx
30,00:03:10.6,&=vfx
31,00:03:10.7,&=vfx
32,00:05:03.9,&=vfx
33,00:05:04.0,&=vfx
34,00:06:25.8,&=vocalization
35,00:06:25.9,&=vocalization
36,00:06:32.6,&=vfx
37,00:06:39.8,&=vfx
38,00:06:39.9,&=vfx
39,00:06:40.0,&=vfx
40,00:07:04.3,&=vfx
41,00:07:04.4,&=vfx
42,00:07:04.5,&=vfx
43,00:07:04.6,&=vfx
44,00:07:04.7,&=vfx
45,00:07:04.8,&=vfx
46,00:07:04.9,&=vfx
47,00:07:05.0,&=vfx
48,00:07:16.6,&=vfx
49,00:07:16.7,&=vfx
50,00:07:41.6,&=vfx
51,00:07:41.7,&=vfx
52,00:09:36.8,&=vfx
53,00:09:36.9,&=vfx
54,00:09:37.0,&=vfx
55,00:09:53.7,&=crying
56,00:11:24.1,&=vocalization
57,00:11:24.2,&=vocalization
58,00:29:52.1,&=crying
59,00:29:52.2,&=crying
60,01:08:47.6,&=crying
61,01:08:47.7,&=crying
62,01:08:47.8,&=crying
63,02:40:59.8,&=vfx
64,02:40:59.9,&=vfx
65,02:41:00.0,&=vfx
66,02:41:00.1,&=vfx
67,02:41:00.2,&=vfx
