,Time,Action
0,00:00:11.0,&=vocalization
1,00:00:11.1,&=vocalization
2,00:00:11.2,&=vocalization
3,00:00:11.3,&=vocalization
4,00:00:11.4,&=vocalization
5,00:00:45.3,&=crying
6,00:00:45.4,&=crying
7,00:00:45.5,&=crying
8,00:00:45.6,&=crying
9,00:00:45.7,&=crying
10,00:00:45.8,&=crying
11,00:00:45.9,&=crying
12,00:00:46.0,&=crying
13,00:00:46.1,&=crying
14,00:00:46.2,&=crying
15,00:00:46.3,&=crying
16,00:00:46.4,&=vfx
17,00:01:09.0,&=vocalization
18,00:01:09.1,&=vocalization
19,00:01:09.2,&=vocalization
20,00:01:09.3,&=vocalization
21,00:01:09.4,&=vocalization
22,00:01:11.0,&=crying
23,00:01:11.1,&=crying
24,00:01:11.2,&=crying
25,00:01:29.9,&=vocalization
26,00:01:30.0,&=vocalization
27,00:01:30.1,&=vocalization
28,00:01:30.2,&=vocalization
29,00:01:30.3,&=vocalization
30,00:01:30.4,&=vocalization
31,00:01:31.3,&=vocalization
32,00:01:38.9,&=vocalization
33,00:01:39.0,&=vocalization
34,00:01:39.1,&=vocalization
35,00:01:39.2,&=vocalization
36,00:01:39.3,&=vocalization
37,00:01:39.4,&=vocalization
38,00:01:39.5,&=vocalization
39,00:01:39.6,&=vocalization
40,00:01:41.8,&=vocalization
41,00:01:41.9,&=vocalization
42,00:01:42.0,&=vocalization
43,00:01:42.1,&=vocalization
44,00:01:42.2,&=vocalization
45,00:01:42.3,&=vocalization
46,00:01:42.8,&=vocalization
47,00:02:38.5,&=vocalization
48,00:02:38.6,&=vocalization
49,00:02:38.7,&=vocalization
50,00:02:38.8,&=vocalization
51,00:02:38.9,&=vocalization
52,00:02:39.0,&=vocalization
53,00:02:39.1,&=vocalization
54,00:02:40.0,&=vocalization
55,00:02:40.1,&=vocalization
56,00:02:40.2,&=vocalization
57,00:02:44.9,&=crying
58,00:02:45.0,&=crying
59,00:02:45.1,&=crying
60,00:02:45.2,&=crying
61,00:02:46.1,&=vocalization
62,00:02:46.2,&=vocalization
63,00:02:46.3,&=vocalization
64,00:02:46.4,&=vocalization
65,00:02:47.1,&=vocalization
66,00:03:02.4,&=vocalization
67,00:03:02.5,&=vocalization
68,00:03:02.6,&=vocalization
69,00:03:02.7,&=vocalization
70,00:03:03.2,&=vocalization
71,00:03:03.3,&=vocalization
72,00:03:03.4,&=vocalization
73,00:03:03.5,&=vocalization
74,00:03:03.6,&=vocalization
75,00:03:03.7,&=vocalization
76,00:03:03.8,&=vocalization
77,00:06:02.8,&=vocalization
78,00:06:02.9,&=vocalization
79,00:06:03.0,&=vocalization
80,00:06:03.1,&=vocalization
81,00:06:03.2,&=vocalization
82,00:06:03.3,&=vocalization
83,00:06:03.4,&=vocalization
84,00:06:05.5,&=vocalization
85,00:06:05.6,&=vocalization
86,00:06:07.0,&=vocalization
87,00:06:07.1,&=vocalization
88,00:06:07.2,&=vocalization
89,00:06:08.9,&=crying
90,00:06:09.0,&=crying
91,00:06:09.1,&=crying
92,00:06:09.2,&=crying
93,00:06:09.3,&=crying
94,00:06:09.4,&=crying
95,00:06:19.6,&=vocalization
96,00:06:19.7,&=vocalization
97,00:06:19.8,&=vocalization
98,00:06:19.9,&=vocalization
99,00:06:20.8,&=crying
100,00:06:20.9,&=crying
101,00:06:21.0,&=crying
102,00:06:21.1,&=crying
103,00:06:21.2,&=crying
104,00:06:21.3,&=crying
105,00:06:22.6,&=vocalization
106,00:06:22.7,&=vocalization
107,00:06:22.8,&=vocalization
