,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:31:54.980,00:32:00.300,0.0,0.00
1,,00:37:23.120,00:37:32.120,1.0,0.11
2,,00:42:49.540,00:44:20.620,2.6,0.03
3,,00:55:55.910,00:56:37.340,1.2,0.03
4,,01:03:39.380,01:07:18.200,11.6,0.05
5,,01:09:00.720,01:10:27.100,3.6,0.04
6,,01:11:47.040,01:12:12.660,0.0,0.00
7,,01:24:59.710,01:25:11.600,0.0,0.00
8,,01:39:43.450,01:39:46.270,0.0,0.00
9,,01:55:27.600,01:55:45.470,2.6,0.15
10,,02:00:14.380,02:02:38.340,9.2,0.06
11,,02:03:48.190,02:04:44.630,1.1,0.02
12,,02:27:20.370,02:27:34.070,0.0,0.00
13,yes,02:31:44.190,02:34:50.640,13.8,0.07
14,yes,02:40:02.760,02:40:22.420,1.2,0.06
15,yes,02:42:15.110,02:42:43.110,2.5,0.09
16,yes,02:48:41.400,02:48:44.600,0.0,0.00
17,yes,03:05:43.690,03:05:47.920,0.0,0.00
18,yes,04:00:35.360,04:01:05.310,6.3,0.21
19,no,04:03:56.540,04:05:09.120,1.9,0.03
20,no,05:34:09.060,05:34:10.950,0.0,0.00
21,yes,05:40:10.800,05:41:16.660,5.6,0.09
22,yes,05:43:17.870,05:47:13.120,20.3,0.09
23,yes,05:54:53.210,05:56:19.410,4.8,0.06
24,,05:59:00.010,05:59:10.720,0.7,0.07
25,,06:00:55.830,06:01:48.760,0.6,0.01
26,,06:03:54.210,06:03:56.660,0.0,0.00
27,,06:09:11.250,06:10:23.510,3.1,0.04
28,,06:14:09.090,06:14:29.980,0.0,0.00
29,,06:21:30.210,06:22:24.550,4.9,0.09
30,,06:25:13.450,06:25:35.820,0.3,0.01
31,,06:32:16.630,06:32:30.650,3.8,0.27
32,,06:33:39.390,06:34:49.050,1.0,0.01
33,,06:41:31.700,06:41:40.490,0.0,0.00
34,,07:03:13.900,07:03:40.250,0.4,0.02
35,,07:07:33.940,07:07:59.200,0.0,0.00
