,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:01:50.180,00:01:58.220,0.7,0.09
1,,01:00:27.690,01:00:29.600,0.0,0.00
2,,01:04:42.400,01:06:14.300,0.0,0.00
3,,01:09:40.850,01:12:27.830,9.1,0.05
4,,01:15:19.990,01:16:39.690,8.4,0.11
5,,02:05:21.010,02:07:07.130,4.9,0.05
6,,02:10:18.490,02:13:55.520,15.2,0.07
7,,04:12:15.120,04:13:10.640,1.2,0.02
8,,04:14:11.970,04:14:27.150,0.9,0.06
9,,04:31:40.640,04:32:26.340,0.0,0.00
10,,04:43:31.450,04:43:51.450,2.1,0.11
11,,04:45:01.540,04:46:22.700,1.7,0.02
12,,04:56:00.090,04:56:36.920,5.0,0.14
13,,05:07:55.280,05:08:33.780,3.2,0.08
14,,05:13:27.180,05:14:20.070,0.4,0.01
15,yes,05:19:34.560,05:19:38.220,0.0,0.00
16,no,05:21:48.020,05:22:14.540,0.0,0.00
17,yes,05:36:52.930,05:37:53.220,1.2,0.02
18,yes,05:48:30.120,05:48:54.230,0.0,0.00
19,yes,05:52:08.160,05:55:13.190,4.3,0.02
20,yes,05:57:21.020,05:58:01.290,2.2,0.05
21,yes,06:32:53.530,06:34:31.400,6.9,0.07
22,yes,06:43:16.520,06:43:49.970,2.7,0.08
23,yes,08:27:44.300,08:28:18.700,0.7,0.02
24,yes,08:30:12.100,08:31:58.390,10.8,0.10
25,yes,08:34:39.430,08:35:35.820,2.7,0.05
26,yes,08:37:40.390,08:39:46.090,6.9,0.05
27,no,08:49:15.050,08:49:17.300,0.0,0.00
28,yes,09:02:13.850,09:02:15.620,0.0,0.00
29,yes,09:07:51.420,09:14:58.400,33.5,0.08
30,yes,09:19:05.540,09:22:58.650,34.6,0.15
31,yes,09:25:12.850,09:26:11.240,0.8,0.01
32,yes,09:31:30.470,09:32:02.110,0.0,0.00
33,,09:37:15.850,09:38:27.910,14.9,0.21
34,,09:41:07.750,09:41:41.580,9.8,0.29
35,,11:53:42.990,11:55:10.350,0.0,0.00
36,,11:56:50.800,12:15:05.860,51.2,0.05
37,,12:22:44.460,12:23:27.490,2.1,0.05
38,,12:39:02.380,12:39:30.180,0.5,0.02
39,,12:42:31.750,12:44:14.630,1.5,0.01
40,,12:48:58.570,12:49:49.810,1.1,0.02
41,,12:55:58.650,12:56:32.320,1.0,0.03
42,,13:01:29.000,13:01:33.420,0.0,0.00
43,,13:03:53.830,13:06:43.480,22.4,0.13
44,,13:08:25.430,13:09:15.560,1.7,0.03
45,,13:15:06.500,13:16:13.090,2.9,0.04
46,,13:19:43.220,13:20:54.500,2.8,0.04
47,,13:23:58.720,13:24:58.070,0.0,0.00
48,,13:26:36.080,13:30:41.050,2.8,0.01
49,,13:32:06.400,13:33:24.320,0.5,0.01
50,,13:46:27.850,13:47:21.980,1.9,0.04
51,,15:18:40.040,15:21:45.660,5.5,0.03
52,,15:27:24.780,15:33:53.830,35.3,0.09
53,,15:39:52.850,15:42:10.600,6.4,0.05
54,,15:53:47.090,15:53:50.810,0.0,0.00
