,Category,Begin Time,End Time,&=vocalization duration,&=vocalization density
0,,00:22:38.860,00:23:54.150,6.0,0.08
1,,00:24:58.060,00:25:07.450,0.7,0.07
2,,00:26:15.440,00:26:26.560,1.1,0.10
3,,00:27:40.610,00:27:46.360,0.0,0.00
4,,00:33:06.320,00:35:35.780,7.1,0.05
5,,00:42:35.670,00:47:24.200,9.6,0.03
6,,00:50:22.330,00:50:53.260,3.6,0.12
7,,01:21:45.790,01:24:56.430,13.1,0.07
8,,01:25:57.220,01:27:34.340,2.1,0.02
9,,02:05:38.610,02:06:13.530,2.0,0.06
10,,02:12:23.570,02:14:34.140,10.7,0.08
11,,02:19:43.580,02:21:35.930,5.9,0.05
12,,02:22:50.010,02:23:29.760,4.9,0.12
13,,02:29:24.800,02:32:09.510,9.9,0.06
14,,02:40:50.950,02:43:53.290,5.1,0.03
15,,02:45:05.450,02:47:43.290,9.6,0.06
16,,02:48:49.390,02:49:31.670,4.5,0.11
17,,02:50:43.730,02:51:10.950,0.6,0.02
18,,02:52:15.550,02:57:08.050,23.7,0.08
19,,02:58:23.990,02:58:32.110,0.9,0.11
20,,03:01:04.210,03:03:04.710,3.2,0.03
21,,03:18:48.860,03:21:15.620,4.7,0.03
22,,03:23:34.850,03:26:57.410,11.5,0.06
23,,03:28:53.590,03:30:50.750,3.8,0.03
24,,03:31:57.500,03:32:13.340,0.0,0.00
25,,03:59:27.740,04:00:15.750,1.8,0.04
26,,04:13:19.230,04:13:54.110,1.5,0.04
27,,04:15:10.450,04:16:18.040,1.1,0.02
28,,04:21:36.020,04:22:59.970,4.0,0.05
29,,04:28:44.960,04:30:00.240,12.0,0.16
30,,04:41:13.740,04:41:50.670,6.5,0.18
31,,04:43:18.450,04:43:52.080,0.7,0.02
32,,05:02:18.990,05:03:55.510,3.3,0.03
33,,05:07:31.410,05:07:33.480,0.0,0.00
34,,05:09:16.440,05:10:43.210,1.3,0.01
35,,05:23:20.870,05:24:15.350,1.8,0.03
36,,05:26:21.860,05:28:58.510,18.5,0.12
37,,05:38:37.950,05:41:07.600,4.8,0.03
38,,05:43:10.980,05:45:47.970,15.0,0.10
39,,05:48:21.080,05:55:17.180,30.0,0.07
40,,05:58:06.980,05:58:10.370,0.0,0.00
41,,05:59:14.030,05:59:37.370,3.4,0.15
42,,06:00:54.050,06:01:33.600,0.0,0.00
43,,06:04:27.930,06:05:09.750,2.1,0.05
44,,06:14:14.840,06:14:20.340,0.0,0.00
45,,06:20:27.260,06:20:36.530,1.6,0.17
46,,06:26:25.910,06:27:17.200,1.0,0.02
47,,06:28:20.300,06:30:41.740,12.5,0.09
48,,06:37:16.870,06:37:54.280,0.0,0.00
49,,06:48:49.570,06:49:00.250,0.0,0.00
50,,06:53:23.910,06:54:48.420,7.2,0.09
51,,07:05:25.820,07:06:37.190,10.6,0.15
52,,07:44:21.810,07:44:37.100,1.0,0.07
53,,07:46:57.840,07:49:18.340,2.4,0.02
54,,07:51:04.660,07:51:37.530,0.0,0.00
55,,07:54:05.130,07:56:33.840,3.4,0.02
56,,08:01:32.100,08:02:12.270,0.8,0.02
57,,08:05:39.230,08:10:24.520,0.7,0.00
58,,08:11:48.660,08:16:46.150,0.7,0.00
59,,08:40:45.840,08:41:12.560,3.0,0.11
60,,08:45:49.530,08:49:21.740,7.8,0.04
61,,08:50:30.390,08:50:34.820,0.0,0.00
62,,08:53:23.020,08:55:19.740,0.7,0.01
63,,08:57:20.110,08:57:53.480,2.9,0.09
64,,08:58:53.540,08:59:27.980,1.0,0.03
65,,09:03:40.150,09:04:22.240,3.3,0.08
66,,09:08:47.930,09:08:50.880,0.0,0.00
67,,09:09:53.710,09:11:04.370,1.7,0.02
68,,09:13:25.000,09:15:29.430,13.4,0.11
69,,09:17:40.020,09:17:46.990,1.0,0.14
70,,09:18:57.870,09:19:21.280,2.9,0.12
71,,09:22:27.640,09:25:15.990,3.4,0.02
72,,09:26:49.910,09:27:18.020,0.0,0.00
73,,09:30:45.360,09:32:18.900,2.5,0.03
74,,09:33:35.530,09:41:08.170,13.6,0.03
75,,09:43:47.520,09:44:01.250,1.1,0.08
76,,09:45:45.510,09:47:37.500,9.0,0.08
77,,09:50:52.150,09:55:48.810,6.3,0.02
78,,10:20:40.130,10:21:37.500,1.4,0.02
79,,10:29:59.190,10:33:22.390,0.7,0.00
80,,10:35:15.690,10:35:28.150,0.0,0.00
81,,10:43:02.300,10:44:26.880,8.6,0.10
82,,10:50:27.460,10:50:36.930,0.0,0.00
83,,10:52:00.280,10:52:07.800,0.4,0.05
84,,10:53:22.350,10:55:43.530,5.7,0.04
85,,10:56:59.080,10:57:46.450,5.5,0.12
86,,11:02:49.840,11:04:22.620,9.1,0.10
87,,11:07:45.770,11:11:37.810,22.2,0.10
88,,11:15:35.030,11:17:40.740,10.9,0.09
89,,11:19:53.930,11:19:56.620,0.0,0.00
90,,11:33:21.440,11:34:30.260,7.3,0.11
91,,11:37:06.840,11:39:04.600,0.7,0.01
92,,11:40:30.440,11:41:10.220,9.0,0.23
