,Action,Start,End,Duration
0,&=crying ,00:00:00.000,00:00:00.000,00:00:00.000
1,&=crying ,00:01:10.960,00:01:11.320,00:00:00.360
2,&=crying ,00:02:46.080,00:02:47.240,00:00:01.160
3,&=crying ,00:03:02.670,00:03:03.240,00:00:00.570
4,&=crying ,00:06:08.860,00:06:09.460,00:00:00.600
5,&=crying ,00:06:20.830,00:06:21.350,00:00:00.520
6,&=crying ,00:06:27.620,00:06:27.920,00:00:00.300
7,&=crying ,00:06:33.580,00:06:33.660,00:00:00.080
8,&=crying ,00:06:35.090,00:06:35.680,00:00:00.590
9,&=crying ,00:06:39.990,00:06:40.340,00:00:00.350
10,&=crying ,00:06:41.140,00:06:42.290,00:00:01.150
11,&=crying ,00:06:47.030,00:06:47.270,00:00:00.240
12,&=crying ,00:07:08.680,00:07:11.080,00:00:02.400
13,&=crying ,00:07:11.300,00:07:13.090,00:00:01.790
14,&=crying ,00:07:13.390,00:07:13.490,00:00:00.100
15,&=crying ,00:08:40.180,00:08:41.450,00:00:01.270
16,&=crying ,00:08:41.450,00:08:42.250,00:00:00.800
17,&=crying ,00:08:42.370,00:08:52.970,00:00:10.600
18,&=crying ,00:08:53.980,00:08:56.000,00:00:02.020
19,&=crying ,00:08:58.720,00:09:00.520,00:00:01.800
20,&=crying ,00:09:16.880,00:09:17.780,00:00:00.900
21,&=crying ,00:09:25.670,00:09:27.660,00:00:01.990
22,&=crying ,00:09:28.160,00:09:28.240,00:00:00.080
23,&=crying ,00:09:36.810,00:09:37.400,00:00:00.590
24,&=crying ,00:09:38.730,00:09:40.260,00:00:01.530
25,&=crying ,00:09:45.260,00:09:45.920,00:00:00.660
26,&=crying ,00:09:48.530,00:09:53.000,00:00:04.470
27,&=crying ,00:09:54.030,00:09:54.480,00:00:00.450
28,&=crying ,00:09:55.280,00:09:59.180,00:00:03.900
29,&=crying ,00:09:59.980,00:10:01.960,00:00:01.980
30,&=crying ,00:10:04.270,00:10:04.960,00:00:00.690
31,&=crying ,00:10:05.960,00:10:09.260,00:00:03.300
32,&=crying ,00:10:10.480,00:10:16.570,00:00:06.090
33,&=crying ,00:10:20.920,00:10:21.700,00:00:00.780
34,&=crying ,00:10:23.800,00:10:24.650,00:00:00.850
35,&=crying ,00:10:29.140,00:10:36.830,00:00:07.690
36,&=crying ,00:10:38.360,00:10:38.620,00:00:00.260
37,&=crying ,00:10:39.870,00:10:40.320,00:00:00.450
38,&=crying ,00:10:45.370,00:10:46.570,00:00:01.200
39,&=crying ,00:10:47.020,00:10:48.170,00:00:01.150
40,&=crying ,00:10:49.020,00:11:00.380,00:00:11.360
41,&=crying ,00:11:01.180,00:11:02.000,00:00:00.820
42,&=crying ,00:11:03.740,00:11:06.170,00:00:02.430
43,&=crying ,00:11:09.620,00:11:10.960,00:00:01.340
44,&=crying ,00:11:11.100,00:11:11.270,00:00:00.170
45,&=crying ,00:11:14.090,00:11:15.090,00:00:01.000
46,&=crying ,00:11:21.950,00:11:22.820,00:00:00.870
47,&=crying ,00:11:24.660,00:11:28.450,00:00:03.790
48,&=crying ,00:11:29.250,00:11:32.620,00:00:03.370
49,&=crying ,00:11:33.660,00:11:35.120,00:00:01.460
50,&=crying ,00:11:36.120,00:11:38.870,00:00:02.750
