,Time,1 Minute Episode
0,166.0,2
1,166.1,2
2,166.2,2
3,166.3,2
4,166.4,2
5,166.5,2
6,166.6,2
7,166.7,2
8,166.8,2
9,166.9,2
10,167.0,2
11,167.1,2
12,167.2,2
13,167.3,2
14,167.4,2
15,167.5,2
16,167.6,2
17,167.7,2
18,167.8,2
19,167.9,2
20,168.0,2
21,168.1,2
22,168.2,2
23,168.3,2
24,168.4,2
25,168.5,2
26,168.6,2
27,168.7,2
28,168.8,2
29,168.9,2
30,169.0,2
31,169.1,2
32,169.2,2
33,169.3,2
34,169.4,2
35,169.5,2
36,169.6,2
37,169.7,2
38,169.8,2
39,169.9,2
40,170.0,2
41,170.1,2
42,170.2,2
43,170.3,2
44,170.4,2
45,170.5,2
46,170.6,2
47,170.7,2
48,170.8,2
49,170.9,2
50,171.0,2
51,171.1,2
52,171.2,2
53,171.3,2
54,171.4,2
55,171.5,2
56,171.6,2
57,171.7,2
58,171.8,2
59,171.9,2
60,172.0,2
61,172.1,2
62,172.2,2
63,172.3,2
64,172.4,2
65,172.5,2
66,172.6,2
67,172.7,2
68,172.8,2
69,172.9,2
70,173.0,2
71,173.1,2
72,173.2,2
73,173.3,2
74,173.4,2
75,173.5,2
76,173.6,2
77,173.7,2
78,173.8,2
79,173.9,2
80,174.0,2
81,174.1,2
82,174.2,2
83,174.3,2
84,174.4,2
85,174.5,2
86,174.6,2
87,174.7,2
88,174.8,2
89,174.9,2
90,175.0,2
91,175.1,2
92,175.2,2
93,175.3,2
94,175.4,2
95,175.5,2
96,175.6,2
97,175.7,2
98,175.8,2
99,175.9,2
100,176.0,2
101,176.1,2
102,176.2,2
103,176.3,2
104,176.4,2
105,176.5,2
106,176.6,2
107,176.7,2
108,176.8,2
109,176.9,2
110,177.0,2
111,177.1,2
112,177.2,2
113,177.3,2
114,177.4,2
115,177.5,2
116,177.6,2
117,177.7,2
118,177.8,2
119,177.9,2
120,178.0,2
121,178.1,2
122,178.2,2
123,178.3,2
124,178.4,2
125,178.5,2
126,178.6,2
127,178.7,2
128,178.8,2
129,178.9,2
130,179.0,2
131,179.1,2
132,179.2,2
133,179.3,2
134,179.4,2
135,179.5,2
136,179.6,2
137,179.7,2
138,179.8,2
139,179.9,2
140,180.0,2
141,180.1,2
142,180.2,2
143,180.3,2
144,180.4,2
145,180.5,2
146,180.6,2
147,180.7,2
148,180.8,2
149,180.9,2
150,181.0,2
151,181.1,2
152,181.2,2
153,181.3,2
154,181.4,2
155,181.5,2
156,181.6,2
157,181.7,2
158,181.8,2
159,181.9,2
160,182.0,2
161,182.1,2
162,182.2,2
163,182.3,2
164,182.4,2
165,182.5,2
166,182.6,2
167,182.7,2
168,182.8,2
169,182.9,2
170,368.0,2
171,368.1,2
172,368.2,2
173,368.3,2
174,368.4,2
175,368.5,2
176,368.6,2
177,368.7,2
178,368.8,2
179,368.9,2
180,369.0,2
181,369.1,2
182,369.2,2
183,369.3,2
184,369.4,2
185,369.5,2
186,369.6,2
187,369.7,2
188,369.8,2
189,369.9,2
190,370.0,2
191,370.1,2
192,370.2,2
193,370.3,2
194,370.4,2
195,370.5,2
196,370.6,2
197,370.7,2
198,370.8,2
199,370.9,2
200,371.0,2
201,371.1,2
202,371.2,2
203,371.3,2
204,371.4,2
205,371.5,2
206,371.6,2
207,371.7,2
208,371.8,2
209,371.9,2
210,372.0,2
211,372.1,2
212,372.2,2
213,372.3,2
214,372.4,2
215,372.5,2
216,372.6,2
217,372.7,2
218,372.8,2
219,372.9,2
220,373.0,2
221,373.1,2
222,373.2,2
223,373.3,2
224,373.4,2
225,373.5,2
226,373.6,2
227,373.7,2
228,373.8,2
229,373.9,2
230,374.0,2
231,374.1,2
232,374.2,2
233,374.3,2
234,374.4,2
235,374.5,2
236,374.6,2
237,374.7,2
238,374.8,2
239,374.9,2
240,375.0,2
241,375.1,2
242,375.2,2
243,375.3,2
244,375.4,2
245,375.5,2
246,375.6,2
247,375.7,2
248,375.8,2
249,375.9,2
250,376.0,2
251,376.1,2
252,376.2,2
253,376.3,2
254,376.4,2
255,376.5,2
256,376.6,2
257,376.7,2
258,376.8,2
259,376.9,2
260,377.0,2
261,377.1,2
262,377.2,2
263,377.3,2
264,377.4,2
265,377.5,2
266,377.6,2
267,377.7,2
268,377.8,2
269,377.9,2
270,378.0,2
271,378.1,2
272,378.2,2
273,378.3,2
274,378.4,2
275,378.5,2
276,378.6,2
277,378.7,2
278,378.8,2
279,378.9,2
280,379.0,2
281,379.1,2
282,379.2,2
283,379.3,2
284,379.4,2
285,379.5,2
286,379.6,2
287,379.7,2
288,379.8,2
289,379.9,2
290,380.0,2
291,380.1,2
292,380.2,2
293,380.3,2
294,380.4,2
295,380.5,2
296,380.6,2
297,380.7,2
298,380.8,2
299,380.9,2
300,381.0,2
301,381.1,2
302,381.2,2
303,381.3,2
304,381.4,2
305,381.5,2
306,381.6,2
307,381.7,2
308,381.8,2
309,381.9,2
310,382.0,2
311,382.1,2
312,382.2,2
313,382.3,2
314,382.4,2
315,382.5,2
316,382.6,2
317,382.7,2
318,382.8,2
319,382.9,2
320,383.0,2
321,383.1,2
322,383.2,2
323,383.3,2
324,383.4,2
325,383.5,2
326,383.6,2
327,383.7,2
328,383.8,2
329,383.9,2
330,384.0,2
331,384.1,2
332,384.2,2
333,384.3,2
334,384.4,2
335,384.5,2
336,384.6,2
337,384.7,2
338,384.8,2
339,384.9,2
340,385.0,2
341,385.1,2
342,385.2,2
343,385.3,2
344,385.4,2
345,385.5,2
346,385.6,2
347,385.7,2
348,385.8,2
349,385.9,2
350,386.0,2
351,386.1,2
352,386.2,2
353,386.3,2
354,386.4,2
355,386.5,2
356,386.6,2
357,386.7,2
358,386.8,2
359,386.9,2
360,387.0,2
361,387.1,2
362,387.2,2
363,387.3,2
364,387.4,2
365,387.5,2
366,387.6,2
367,387.7,2
368,387.8,2
369,387.9,2
370,388.0,2
371,388.1,2
372,388.2,2
373,388.3,2
374,388.4,2
375,388.5,2
376,388.6,2
377,388.7,2
378,388.8,2
379,388.9,2
380,389.0,2
381,389.1,2
382,389.2,2
383,389.3,2
384,389.4,2
385,389.5,2
386,389.6,2
387,389.7,2
388,389.8,2
389,389.9,2
390,390.0,2
391,390.1,2
392,390.2,2
393,390.3,2
394,390.4,2
395,390.5,2
396,390.6,2
397,390.7,2
398,390.8,2
399,390.9,2
400,391.0,2
401,391.1,2
402,391.2,2
403,391.3,2
404,391.4,2
405,391.5,2
406,391.6,2
407,391.7,2
408,391.8,2
409,391.9,2
410,392.0,2
411,392.1,2
412,392.2,2
413,392.3,2
414,392.4,2
415,392.5,2
416,392.6,2
417,392.7,2
418,392.8,2
419,392.9,2
420,393.0,2
421,393.1,2
422,393.2,2
423,393.3,2
424,393.4,2
425,393.5,2
426,393.6,2
427,393.7,2
428,393.8,2
429,393.9,2
430,394.0,2
431,394.1,2
432,394.2,2
433,394.3,2
434,394.4,2
435,394.5,2
436,394.6,2
437,394.7,2
438,394.8,2
439,394.9,2
440,395.0,2
441,395.1,2
442,395.2,2
443,395.3,2
444,395.4,2
445,395.5,2
446,395.6,2
447,395.7,2
448,395.8,2
449,395.9,2
450,396.0,2
451,396.1,2
452,396.2,2
453,396.3,2
454,396.4,2
455,396.5,2
456,396.6,2
457,396.7,2
458,396.8,2
459,396.9,2
460,397.0,2
461,397.1,2
462,397.2,2
463,397.3,2
464,397.4,2
465,397.5,2
466,397.6,2
467,397.7,2
468,397.8,2
469,397.9,2
470,398.0,2
