Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*NON	*CHF	*FAN	*OLN	
364.92	364920	366.04	366040	1.12	1120															
391.99	391990	392.6	392600	0.61	610															
434.08	434080	434.87	434870	0.79	790															
543.45	543450	544.25	544250	0.8	800															
722.55	722550	723.35	723350	0.8	800															
753.63	753630	754.23	754230	0.6	600															
800.28	800280	800.88	800880	0.6	600															
833.82	833820	834.74	834740	0.92	920															
835.34	835340	836.45	836450	1.11	1110															
840.99	840990	841.73	841730	0.74	740															
842.53	842530	843.38	843380	0.85	850															
960.1	960100	960.73	960730	0.63	630															
973.96	973960	974.96	974960	1.0	1000															
980.06	980060	980.86	980860	0.8	800															
1278.46	1278460	1279.26	1279260	0.8	800															
1279.86	1279860	1280.86	1280860	1.0	1000															
1282.89	1282890	1283.78	1283780	0.89	890															
1299.33	1299330	1300.28	1300280	0.95	950															
1306.42	1306420	1307.22	1307220	0.8	800															
1488.86	1488860	1489.81	1489810	0.95	950															
1490.42	1490420	1491.4	1491400	0.98	980															
1529.52	1529520	1530.55	1530550	1.03	1030															
1533.23	1533230	1536.73	1536730	3.5	3500															
1536.73	1536730	1537.54	1537540	0.81	810															
1542.02	1542020	1543.8	1543800	1.78	1780															
1558.87	1558870	1559.85	1559850	0.98	980															
1561.63	1561630	1562.99	1562990	1.36	1360															
1573.28	1573280	1574.46	1574460	1.18	1180															
1575.06	1575060	1575.88	1575880	0.82	820															
1577.73	1577730	1578.91	1578910	1.18	1180															
1578.91	1578910	1580.07	1580070	1.16	1160															
1581.63	1581630	1582.43	1582430	0.8	800															
1584.0	1584000	1584.8	1584800	0.8	800															
1585.78	1585780	1586.79	1586790	1.01	1010															
1588.06	1588060	1591.5	1591500	3.44	3440															
1595.05	1595050	1597.16	1597160	2.11	2110															
1603.33	1603330	1604.82	1604820	1.49	1490															
1608.67	1608670	1610.83	1610830	2.16	2160															
1611.85	1611850	1615.42	1615420	3.57	3570															
3177.9	3177900	3178.77	3178770	0.87	870															
4422.18	4422180	4422.78	4422780	0.6	600															
5867.08	5867080	5867.88	5867880	0.8	800															
6565.07	6565070	6565.87	6565870	0.8	800															
6571.75	6571750	6572.77	6572770	1.02	1020															
6577.49	6577490	6578.33	6578330	0.84	840															
6638.61	6638610	6639.62	6639620	1.01	1010															
6639.62	6639620	6640.42	6640420	0.8	800															
6641.5	6641500	6643.12	6643120	1.62	1620															
6645.48	6645480	6646.97	6646970	1.49	1490															
6646.97	6646970	6647.65	6647650	0.68	680															
6655.52	6655520	6656.38	6656380	0.86	860															
6656.38	6656380	6657.25	6657250	0.87	870															
6657.25	6657250	6658.16	6658160	0.91	910															
6798.32	6798320	6799.12	6799120	0.8	800															
6853.71	6853710	6854.52	6854520	0.81	810															
6873.84	6873840	6874.66	6874660	0.82	820															
6881.63	6881630	6882.63	6882630	1.0	1000															
6964.13	6964130	6964.73	6964730	0.6	600															
6969.38	6969380	6970.34	6970340	0.96	960															
6971.43	6971430	6972.56	6972560	1.13	1130															
7016.96	7016960	7018.0	7018000	1.04	1040															
7027.56	7027560	7028.56	7028560	1.0	1000															
7028.56	7028560	7030.19	7030190	1.63	1630															
7031.48	7031480	7033.07	7033070	1.59	1590															
7035.29	7035290	7036.42	7036420	1.13	1130															
7042.76	7042760	7043.56	7043560	0.8	800															
7045.37	7045370	7046.17	7046170	0.8	800															
7065.72	7065720	7066.55	7066550	0.83	830															
7091.16	7091160	7092.72	7092720	1.56	1560															
7099.52	7099520	7100.37	7100370	0.85	850															
7125.49	7125490	7126.58	7126580	1.09	1090															
7128.79	7128790	7129.63	7129630	0.84	840															
7135.03	7135030	7136.43	7136430	1.4	1400															
7139.53	7139530	7140.46	7140460	0.93	930															
7153.74	7153740	7154.76	7154760	1.02	1020															
7157.75	7157750	7158.55	7158550	0.8	800															
7159.35	7159350	7160.35	7160350	1.0	1000															
7160.35	7160350	7161.28	7161280	0.93	930															
7164.6	7164600	7165.34	7165340	0.74	740															
7184.25	7184250	7184.85	7184850	0.6	600															
7188.62	7188620	7189.42	7189420	0.8	800															
7199.94	7199940	7200.91	7200910	0.97	970															
7203.71	7203710	7205.17	7205170	1.46	1460															
7214.54	7214540	7215.62	7215620	1.08	1080															
7219.06	7219060	7219.74	7219740	0.68	680															
7257.51	7257510	7258.31	7258310	0.8	800															
