Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
139.16	139160	139.76	139760	0.6	600															
641.08	641080	641.68	641680	0.6	600															
823.34	823340	823.94	823940	0.6	600															
1352.18	1352180	1352.98	1352980	0.8	800															
1411.43	1411430	1413.16	1413160	1.73	1730															
1418.96	1418960	1420.2	1420200	1.24	1240															
1471.9	1471900	1472.9	1472900	1.0	1000															
1472.9	1472900	1473.71	1473710	0.81	810															
1484.05	1484050	1485.64	1485640	1.59	1590															
1488.85	1488850	1489.66	1489660	0.81	810															
1489.66	1489660	1490.59	1490590	0.93	930															
1490.59	1490590	1491.43	1491430	0.84	840															
1509.58	1509580	1510.23	1510230	0.65	650															
1531.73	1531730	1532.94	1532940	1.21	1210															
1547.25	1547250	1548.06	1548060	0.81	810															
1573.18	1573180	1573.98	1573980	0.8	800															
1589.85	1589850	1590.65	1590650	0.8	800															
1590.65	1590650	1591.88	1591880	1.23	1230															
1603.45	1603450	1604.25	1604250	0.8	800															
1628.33	1628330	1629.13	1629130	0.8	800															
1637.83	1637830	1638.44	1638440	0.61	610															
1645.35	1645350	1646.16	1646160	0.81	810															
1652.24	1652240	1653.04	1653040	0.8	800															
1659.82	1659820	1660.45	1660450	0.63	630															
1663.44	1663440	1664.1	1664100	0.66	660															
1669.54	1669540	1670.88	1670880	1.34	1340															
1677.34	1677340	1678.14	1678140	0.8	800															
1679.14	1679140	1679.93	1679930	0.79	790															
1679.93	1679930	1680.73	1680730	0.8	800															
1684.89	1684890	1685.49	1685490	0.6	600															
1686.72	1686720	1687.44	1687440	0.72	720															
1687.44	1687440	1688.34	1688340	0.9	900															
1695.77	1695770	1696.7	1696700	0.93	930															
1696.7	1696700	1697.53	1697530	0.83	830															
1701.71	1701710	1702.55	1702550	0.84	840															
1704.74	1704740	1705.34	1705340	0.6	600															
1731.14	1731140	1731.94	1731940	0.8	800															
1732.95	1732950	1733.63	1733630	0.68	680															
1755.84	1755840	1756.61	1756610	0.77	770															
1793.61	1793610	1795.03	1795030	1.42	1420															
1806.14	1806140	1809.53	1809530	3.39	3390															
1817.18	1817180	1817.99	1817990	0.81	810															
1817.99	1817990	1819.19	1819190	1.2	1200															
1819.19	1819190	1820.88	1820880	1.69	1690															
1827.43	1827430	1828.33	1828330	0.9	900															
1830.81	1830810	1831.86	1831860	1.05	1050															
1898.19	1898190	1899.79	1899790	1.6	1600															
1902.77	1902770	1904.15	1904150	1.38	1380															
1918.27	1918270	1919.27	1919270	1.0	1000															
1935.13	1935130	1936.06	1936060	0.93	930															
1946.69	1946690	1947.72	1947720	1.03	1030															
1947.72	1947720	1948.57	1948570	0.85	850															
1948.57	1948570	1950.08	1950080	1.51	1510															
1955.96	1955960	1957.33	1957330	1.37	1370															
1960.42	1960420	1962.4	1962400	1.98	1980															
1965.43	1965430	1966.23	1966230	0.8	800															
1968.08	1968080	1968.93	1968930	0.85	850															
1968.93	1968930	1969.77	1969770	0.84	840															
1980.97	1980970	1981.97	1981970	1.0	1000															
1983.2	1983200	1984.67	1984670	1.47	1470															
1984.67	1984670	1985.45	1985450	0.78	780															
1988.8	1988800	1990.07	1990070	1.27	1270															
1992.16	1992160	1993.09	1993090	0.93	930															
1996.1	1996100	1996.91	1996910	0.81	810															
2016.44	2016440	2017.46	2017460	1.02	1020															
2027.83	2027830	2028.65	2028650	0.82	820															
2036.61	2036610	2037.59	2037590	0.98	980															
2037.59	2037590	2038.38	2038380	0.79	790															
2051.96	2051960	2053.23	2053230	1.27	1270															
2062.16	2062160	2064.05	2064050	1.89	1890															
2075.85	2075850	2076.65	2076650	0.8	800															
2237.74	2237740	2238.36	2238360	0.62	620															
2252.12	2252120	2253.12	2253120	1.0	1000															
2254.92	2254920	2257.29	2257290	2.37	2370															
2485.33	2485330	2486.87	2486870	1.54	1540															
2513.19	2513190	2514.02	2514020	0.83	830															
2514.02	2514020	2515.02	2515020	1.0	1000															
2516.89	2516890	2518.13	2518130	1.24	1240															
2520.0	2520000	2520.8	2520800	0.8	800															
2520.8	2520800	2521.91	2521910	1.11	1110															
2545.17	2545170	2546.0	2546000	0.83	830															
2577.12	2577120	2578.6	2578600	1.48	1480															
2579.9	2579900	2580.87	2580870	0.97	970															
2600.6	2600600	2601.58	2601580	0.98	980															
2601.58	2601580	2602.77	2602770	1.19	1190															
2625.05	2625050	2625.7	2625700	0.65	650															
2635.65	2635650	2636.7	2636700	1.05	1050															
2655.68	2655680	2657.54	2657540	1.86	1860															
2702.28	2702280	2703.51	2703510	1.23	1230															
2761.68	2761680	2762.48	2762480	0.8	800															
2764.1	2764100	2766.26	2766260	2.16	2160															
2766.26	2766260	2766.91	2766910	0.65	650															
2778.0	2778000	2779.48	2779480	1.48	1480															
2787.73	2787730	2791.44	2791440	3.71	3710															
2797.87	2797870	2798.88	2798880	1.01	1010															
2803.37	2803370	2803.98	2803980	0.61	610															
2833.97	2833970	2834.77	2834770	0.8	800															
2922.01	2922010	2922.88	2922880	0.87	870															
2945.6	2945600	2946.2	2946200	0.6	600															
2989.44	2989440	2990.41	2990410	0.97	970															
3068.08	3068080	3068.88	3068880	0.8	800															
3223.38	3223380	3224.18	3224180	0.8	800															
3231.19	3231190	3232.65	3232650	1.46	1460															
3273.2	3273200	3274.58	3274580	1.38	1380															
3394.96	3394960	3396.69	3396690	1.73	1730															
3417.52	3417520	3418.45	3418450	0.93	930															
3428.85	3428850	3429.5	3429500	0.65	650															
