Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
72.54	72540	73.34	73340	0.8	800															
199.93	199930	200.73	200730	0.8	800															
201.93	201930	202.95	202950	1.02	1020															
250.76	250760	251.45	251450	0.69	690															
252.38	252380	253.48	253480	1.1	1100															
254.28	254280	255.16	255160	0.88	880															
294.96	294960	296.02	296020	1.06	1060															
297.06	297060	297.89	297890	0.83	830															
441.41	441410	442.41	442410	1.0	1000															
662.15	662150	662.97	662970	0.82	820															
666.18	666180	666.79	666790	0.61	610															
677.67	677670	678.49	678490	0.82	820															
680.37	680370	681.22	681220	0.85	850															
684.29	684290	684.89	684890	0.6	600															
717.07	717070	717.87	717870	0.8	800															
945.31	945310	946.18	946180	0.87	870															
946.18	946180	947.47	947470	1.29	1290															
1016.16	1016160	1017.02	1017020	0.86	860															
1035.88	1035880	1037.09	1037090	1.21	1210															
1039.51	1039510	1040.31	1040310	0.8	800															
1105.9	1105900	1106.81	1106810	0.91	910															
1116.97	1116970	1117.92	1117920	0.95	950															
1118.93	1118930	1119.95	1119950	1.02	1020															
1181.14	1181140	1181.74	1181740	0.6	600															
1181.74	1181740	1183.11	1183110	1.37	1370															
1189.31	1189310	1190.14	1190140	0.83	830															
1211.69	1211690	1212.77	1212770	1.08	1080															
1536.26	1536260	1537.1	1537100	0.84	840															
1539.35	1539350	1540.77	1540770	1.42	1420															
1549.8	1549800	1550.91	1550910	1.11	1110															
1550.91	1550910	1552.25	1552250	1.34	1340															
1737.52	1737520	1738.32	1738320	0.8	800															
1862.08	1862080	1863.1	1863100	1.02	1020															
1876.96	1876960	1878.54	1878540	1.58	1580															
1931.09	1931090	1931.89	1931890	0.8	800															
1934.07	1934070	1934.87	1934870	0.8	800															
1941.5	1941500	1942.1	1942100	0.6	600															
1948.54	1948540	1949.14	1949140	0.6	600															
1975.86	1975860	1978.14	1978140	2.28	2280															
2008.9	2008900	2009.95	2009950	1.05	1050															
2010.95	2010950	2011.78	2011780	0.83	830															
4678.68	4678680	4679.6	4679600	0.92	920															
4897.82	4897820	4898.74	4898740	0.92	920															
5762.7	5762700	5763.67	5763670	0.97	970															
7260.28	7260280	7261.11	7261110	0.83	830															
10144.46	10144460	10145.5	10145500	1.04	1040															
10244.87	10244870	10245.87	10245870	1.0	1000															
10375.62	10375620	10376.22	10376220	0.6	600															
10568.82	10568820	10569.67	10569670	0.85	850															
10571.23	10571230	10572.03	10572030	0.8	800															
10624.99	10624990	10625.62	10625620	0.63	630															
10877.42	10877420	10878.26	10878260	0.84	840															
11450.42	11450420	11451.23	11451230	0.81	810															
11453.23	11453230	11454.18	11454180	0.95	950															
11459.45	11459450	11460.25	11460250	0.8	800															
11663.68	11663680	11664.28	11664280	0.6	600															
11708.06	11708060	11708.86	11708860	0.8	800															
11754.96	11754960	11755.77	11755770	0.81	810															
11779.78	11779780	11780.38	11780380	0.6	600															
11801.51	11801510	11802.51	11802510	1.0	1000															
11807.33	11807330	11808.13	11808130	0.8	800															
11834.66	11834660	11835.66	11835660	1.0	1000															
11835.66	11835660	11837.04	11837040	1.38	1380															
11991.89	11991890	11992.49	11992490	0.6	600															
12498.75	12498750	12499.35	12499350	0.6	600															
12504.77	12504770	12505.85	12505850	1.08	1080															
12522.53	12522530	12523.58	12523580	1.05	1050															
12577.67	12577670	12578.47	12578470	0.8	800															
12579.27	12579270	12580.07	12580070	0.8	800															
12628.11	12628110	12628.98	12628980	0.87	870															
12794.16	12794160	12795.02	12795020	0.86	860															
12797.65	12797650	12798.92	12798920	1.27	1270															
12815.51	12815510	12816.11	12816110	0.6	600															
13082.76	13082760	13083.39	13083390	0.63	630															
13084.19	13084190	13085.25	13085250	1.06	1060															
13091.83	13091830	13092.67	13092670	0.84	840															
13101.09	13101090	13101.87	13101870	0.78	780															
13102.87	13102870	13103.67	13103670	0.8	800															
13138.84	13138840	13140.2	13140200	1.36	1360															
13177.8	13177800	13178.62	13178620	0.82	820															
13229.87	13229870	13230.47	13230470	0.6	600															
13249.44	13249440	13250.09	13250090	0.65	650															
13250.91	13250910	13252.21	13252210	1.3	1300															
13257.3	13257300	13259.01	13259010	1.71	1710															
13262.3	13262300	13263.18	13263180	0.88	880															
13273.08	13273080	13274.13	13274130	1.05	1050															
13291.07	13291070	13291.87	13291870	0.8	800															
13296.38	13296380	13297.25	13297250	0.87	870															
13302.62	13302620	13303.55	13303550	0.93	930															
13305.22	13305220	13306.27	13306270	1.05	1050															
13306.27	13306270	13306.96	13306960	0.69	690															
13313.03	13313030	13313.98	13313980	0.95	950															
13381.65	13381650	13382.68	13382680	1.03	1030															
13411.0	13411000	13411.95	13411950	0.95	950															
13549.89	13549890	13550.77	13550770	0.88	880															
13550.77	13550770	13551.87	13551870	1.1	1100															
13576.86	13576860	13577.69	13577690	0.83	830															
13581.71	13581710	13582.31	13582310	0.6	600															
13613.6	13613600	13614.21	13614210	0.61	610															
13819.78	13819780	13821.4	13821400	1.62	1620															
13841.15	13841150	13841.75	13841750	0.6	600															
13845.83	13845830	13846.52	13846520	0.69	690															
13870.28	13870280	13871.08	13871080	0.8	800															
13872.15	13872150	13873.15	13873150	1.0	1000															
13878.57	13878570	13879.37	13879370	0.8	800															
13880.37	13880370	13881.19	13881190	0.82	820															
14124.97	14124970	14125.77	14125770	0.8	800															
14180.52	14180520	14181.67	14181670	1.15	1150															
14186.45	14186450	14187.25	14187250	0.8	800															
14278.72	14278720	14279.32	14279320	0.6	600															
14379.98	14379980	14381.23	14381230	1.25	1250															
14383.35	14383350	14384.15	14384150	0.8	800															
14386.63	14386630	14387.84	14387840	1.21	1210															
14400.1	14400100	14401.83	14401830	1.73	1730															
14409.19	14409190	14409.99	14409990	0.8	800															
14409.99	14409990	14410.73	14410730	0.74	740															
14419.29	14419290	14420.1	14420100	0.81	810															
14420.1	14420100	14420.7	14420700	0.6	600															
14420.7	14420700	14421.71	14421710	1.01	1010															
14423.1	14423100	14424.74	14424740	1.64	1640															
14429.85	14429850	14430.73	14430730	0.88	880															
14430.73	14430730	14432.12	14432120	1.39	1390															
14432.12	14432120	14433.42	14433420	1.3	1300															
14435.38	14435380	14436.41	14436410	1.03	1030															
14437.21	14437210	14437.81	14437810	0.6	600															
14437.81	14437810	14440.15	14440150	2.34	2340															
14440.15	14440150	14440.76	14440760	0.61	610															
14444.66	14444660	14445.56	14445560	0.9	900															
14451.81	14451810	14452.61	14452610	0.8	800															
14457.15	14457150	14457.95	14457950	0.8	800															
14462.94	14462940	14463.54	14463540	0.6	600															
14467.33	14467330	14468.73	14468730	1.4	1400															
14469.77	14469770	14472.81	14472810	3.04	3040															
14478.01	14478010	14479.13	14479130	1.12	1120															
14481.93	14481930	14483.09	14483090	1.16	1160															
14488.02	14488020	14488.62	14488620	0.6	600															
14496.17	14496170	14497.33	14497330	1.16	1160															
14499.63	14499630	14500.63	14500630	1.0	1000															
14502.14	14502140	14502.94	14502940	0.8	800															
14503.86	14503860	14505.03	14505030	1.17	1170															
14528.45	14528450	14529.25	14529250	0.8	800															
14530.7	14530700	14531.52	14531520	0.82	820															
14533.27	14533270	14534.34	14534340	1.07	1070															
14534.34	14534340	14534.94	14534940	0.6	600															
14548.7	14548700	14549.51	14549510	0.81	810															
14566.0	14566000	14566.83	14566830	0.83	830															
14584.34	14584340	14585.11	14585110	0.77	770															
14598.02	14598020	14602.94	14602940	4.92	4920															
14604.52	14604520	14605.32	14605320	0.8	800															
14631.29	14631290	14631.89	14631890	0.6	600															
14737.06	14737060	14737.87	14737870	0.81	810															
14829.97	14829970	14831.18	14831180	1.21	1210															
14833.15	14833150	14833.95	14833950	0.8	800															
14834.76	14834760	14837.12	14837120	2.36	2360															
14837.12	14837120	14838.12	14838120	1.0	1000															
14864.09	14864090	14864.89	14864890	0.8	800															
14944.74	14944740	14946.51	14946510	1.77	1770															
14950.18	14950180	14951.09	14951090	0.91	910															
14951.89	14951890	14952.97	14952970	1.08	1080															
14957.74	14957740	14958.54	14958540	0.8	800															
14965.87	14965870	14966.6	14966600	0.73	730															
14970.16	14970160	14971.09	14971090	0.93	930															
14997.92	14997920	14998.79	14998790	0.87	870															
15001.75	15001750	15002.55	15002550	0.8	800															
15038.22	15038220	15039.23	15039230	1.01	1010															
15043.86	15043860	15044.73	15044730	0.87	870															
15046.98	15046980	15047.78	15047780	0.8	800															
15072.72	15072720	15073.35	15073350	0.63	630															
15131.8	15131800	15132.51	15132510	0.71	710															
15411.63	15411630	15412.29	15412290	0.66	660															
15424.74	15424740	15425.34	15425340	0.6	600															
15426.16	15426160	15426.96	15426960	0.8	800															
15429.96	15429960	15430.65	15430650	0.69	690															
15445.8	15445800	15447.08	15447080	1.28	1280															
15454.82	15454820	15456.53	15456530	1.71	1710															
16129.78	16129780	16130.6	16130600	0.82	820															
16447.7	16447700	16448.3	16448300	0.6	600															
16513.13	16513130	16513.95	16513950	0.82	820															
16593.5	16593500	16594.3	16594300	0.8	800															
16935.36	16935360	16936.81	16936810	1.45	1450															
16936.81	16936810	16937.41	16937410	0.6	600															
17647.39	17647390	17648.3	17648300	0.91	910															
18118.04	18118040	18118.64	18118640	0.6	600															
18802.32	18802320	18803.13	18803130	0.81	810															
19332.03	19332030	19332.64	19332640	0.61	610															
19612.26	19612260	19612.89	19612890	0.63	630															
19677.65	19677650	19678.45	19678450	0.8	800															
23501.11	23501110	23501.72	23501720	0.61	610															
23753.76	23753760	23754.73	23754730	0.97	970															
23769.71	23769710	23770.31	23770310	0.6	600															
23770.31	23770310	23771.11	23771110	0.8	800															
23859.96	23859960	23861.26	23861260	1.3	1300															
24043.93	24043930	24044.74	24044740	0.81	810															
24054.3	24054300	24055.1	24055100	0.8	800															
24078.38	24078380	24079.18	24079180	0.8	800															
24188.59	24188590	24189.45	24189450	0.86	860															
24200.17	24200170	24200.77	24200770	0.6	600															
24201.98	24201980	24203.26	24203260	1.28	1280															
24266.79	24266790	24267.39	24267390	0.6	600															
24527.29	24527290	24527.89	24527890	0.6	600															
24576.3	24576300	24577.1	24577100	0.8	800															
24602.43	24602430	24603.67	24603670	1.24	1240															
24636.76	24636760	24637.56	24637560	0.8	800															
26826.03	26826030	26826.84	26826840	0.81	810															
