Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
76.69	76690	78.1	78100	1.41	1410															
116.13	116130	117.13	117130	1.0	1000															
142.39	142390	143.2	143200	0.81	810															
144.14	144140	145.4	145400	1.26	1260															
149.75	149750	150.65	150650	0.9	900															
352.31	352310	353.11	353110	0.8	800															
363.66	363660	364.5	364500	0.84	840															
376.87	376870	380.39	380390	3.52	3520															
395.11	395110	395.91	395910	0.8	800															
652.57	652570	653.37	653370	0.8	800															
655.62	655620	656.66	656660	1.04	1040															
688.81	688810	690.42	690420	1.61	1610															
692.62	692620	693.6	693600	0.98	980															
702.62	702620	703.45	703450	0.83	830															
706.46	706460	707.3	707300	0.84	840															
709.9	709900	710.81	710810	0.91	910															
712.66	712660	714.68	714680	2.02	2020															
837.26	837260	838.21	838210	0.95	950															
883.09	883090	883.89	883890	0.8	800															
884.9	884900	886.71	886710	1.81	1810															
897.76	897760	898.56	898560	0.8	800															
904.66	904660	905.46	905460	0.8	800															
951.19	951190	951.99	951990	0.8	800															
1003.4	1003400	1004.42	1004420	1.02	1020															
1119.57	1119570	1120.19	1120190	0.62	620															
1137.53	1137530	1138.33	1138330	0.8	800															
1139.71	1139710	1140.57	1140570	0.86	860															
1199.26	1199260	1200.08	1200080	0.82	820															
1201.9	1201900	1202.97	1202970	1.07	1070															
1202.97	1202970	1204.36	1204360	1.39	1390															
1205.72	1205720	1207.18	1207180	1.46	1460															
1209.33	1209330	1210.53	1210530	1.2	1200															
1214.85	1214850	1215.85	1215850	1.0	1000															
1309.36	1309360	1310.55	1310550	1.19	1190															
1671.29	1671290	1672.52	1672520	1.23	1230															
1695.51	1695510	1696.43	1696430	0.92	920															
1696.43	1696430	1697.25	1697250	0.82	820															
1700.25	1700250	1701.05	1701050	0.8	800															
1710.82	1710820	1711.98	1711980	1.16	1160															
1713.88	1713880	1714.48	1714480	0.6	600															
1714.48	1714480	1715.48	1715480	1.0	1000															
1725.77	1725770	1726.71	1726710	0.94	940															
1776.19	1776190	1777.26	1777260	1.07	1070															
1777.26	1777260	1777.91	1777910	0.65	650															
1799.01	1799010	1801.14	1801140	2.13	2130															
1818.81	1818810	1819.61	1819610	0.8	800															
1831.02	1831020	1832.05	1832050	1.03	1030															
1847.88	1847880	1848.7	1848700	0.82	820															
1850.3	1850300	1851.1	1851100	0.8	800															
1892.53	1892530	1893.53	1893530	1.0	1000															
1957.6	1957600	1958.4	1958400	0.8	800															
1961.93	1961930	1962.73	1962730	0.8	800															
1993.25	1993250	1994.09	1994090	0.84	840															
2030.27	2030270	2031.12	2031120	0.85	850															
2090.94	2090940	2092.78	2092780	1.84	1840															
2098.19	2098190	2099.46	2099460	1.27	1270															
2102.34	2102340	2103.14	2103140	0.8	800															
2106.79	2106790	2108.37	2108370	1.58	1580															
2113.47	2113470	2115.45	2115450	1.98	1980															
2123.66	2123660	2125.43	2125430	1.77	1770															
2168.09	2168090	2168.93	2168930	0.84	840															
2176.25	2176250	2177.69	2177690	1.44	1440															
2232.04	2232040	2232.85	2232850	0.81	810															
2243.33	2243330	2244.13	2244130	0.8	800															
2245.02	2245020	2246.37	2246370	1.35	1350															
2262.53	2262530	2263.42	2263420	0.89	890															
2273.02	2273020	2274.01	2274010	0.99	990															
2287.71	2287710	2288.31	2288310	0.6	600															
2291.77	2291770	2292.65	2292650	0.88	880															
2297.7	2297700	2298.58	2298580	0.88	880															
2298.58	2298580	2299.18	2299180	0.6	600															
2304.4	2304400	2305.0	2305000	0.6	600															
2308.03	2308030	2309.01	2309010	0.98	980															
2350.36	2350360	2351.02	2351020	0.66	660															
2351.85	2351850	2353.02	2353020	1.17	1170															
2354.64	2354640	2355.27	2355270	0.63	630															
2355.27	2355270	2356.32	2356320	1.05	1050															
2359.27	2359270	2360.07	2360070	0.8	800															
2385.36	2385360	2386.7	2386700	1.34	1340															
2452.84	2452840	2453.7	2453700	0.86	860															
2469.83	2469830	2470.69	2470690	0.86	860															
2500.36	2500360	2503.35	2503350	2.99	2990															
2504.55	2504550	2505.42	2505420	0.87	870															
2506.27	2506270	2507.21	2507210	0.94	940															
2508.01	2508010	2508.81	2508810	0.8	800															
2545.27	2545270	2546.28	2546280	1.01	1010															
2560.55	2560550	2561.15	2561150	0.6	600															
2569.03	2569030	2569.98	2569980	0.95	950															
2570.63	2570630	2571.88	2571880	1.25	1250															
2575.83	2575830	2576.79	2576790	0.96	960															
2591.17	2591170	2591.97	2591970	0.8	800															
2593.28	2593280	2594.08	2594080	0.8	800															
2596.3	2596300	2597.34	2597340	1.04	1040															
2599.78	2599780	2600.94	2600940	1.16	1160															
2600.94	2600940	2601.93	2601930	0.99	990															
2650.38	2650380	2651.21	2651210	0.83	830															
2653.4	2653400	2654.2	2654200	0.8	800															
2659.81	2659810	2661.53	2661530	1.72	1720															
2793.54	2793540	2795.04	2795040	1.5	1500															
2903.06	2903060	2903.66	2903660	0.6	600															
2921.99	2921990	2922.79	2922790	0.8	800															
2922.79	2922790	2923.73	2923730	0.94	940															
2935.92	2935920	2936.72	2936720	0.8	800															
2983.49	2983490	2984.29	2984290	0.8	800															
2994.28	2994280	2995.56	2995560	1.28	1280															
3009.16	3009160	3009.96	3009960	0.8	800															
3049.69	3049690	3050.91	3050910	1.22	1220															
3057.59	3057590	3058.39	3058390	0.8	800															
3062.69	3062690	3064.53	3064530	1.84	1840															
3064.53	3064530	3065.74	3065740	1.21	1210															
3066.55	3066550	3067.47	3067470	0.92	920															
3131.91	3131910	3134.55	3134550	2.64	2640															
3141.31	3141310	3142.11	3142110	0.8	800															
3142.96	3142960	3144.92	3144920	1.96	1960															
3155.0	3155000	3155.8	3155800	0.8	800															
3159.19	3159190	3159.99	3159990	0.8	800															
3164.13	3164130	3165.03	3165030	0.9	900															
3192.37	3192370	3193.39	3193390	1.02	1020															
3197.78	3197780	3198.78	3198780	1.0	1000															
3202.27	3202270	3202.9	3202900	0.63	630															
3202.9	3202900	3203.72	3203720	0.82	820															
3206.39	3206390	3207.56	3207560	1.17	1170															
3209.08	3209080	3211.03	3211030	1.95	1950															
3213.84	3213840	3215.03	3215030	1.19	1190															
3220.63	3220630	3221.63	3221630	1.0	1000															
3221.63	3221630	3222.43	3222430	0.8	800															
3224.18	3224180	3225.78	3225780	1.6	1600															
3233.37	3233370	3234.17	3234170	0.8	800															
3268.44	3268440	3269.76	3269760	1.32	1320															
3275.05	3275050	3276.79	3276790	1.74	1740															
3278.51	3278510	3279.43	3279430	0.92	920															
3284.62	3284620	3285.69	3285690	1.07	1070															
3326.06	3326060	3326.86	3326860	0.8	800															
3343.49	3343490	3344.29	3344290	0.8	800															
3344.29	3344290	3345.39	3345390	1.1	1100															
3345.39	3345390	3346.64	3346640	1.25	1250															
3347.78	3347780	3348.58	3348580	0.8	800															
3370.22	3370220	3371.02	3371020	0.8	800															
3381.37	3381370	3382.26	3382260	0.89	890															
3395.12	3395120	3396.55	3396550	1.43	1430															
3405.33	3405330	3406.7	3406700	1.37	1370															
3896.39	3896390	3897.47	3897470	1.08	1080															
3956.76	3956760	3957.72	3957720	0.96	960															
4029.21	4029210	4031.63	4031630	2.42	2420															
4053.31	4053310	4054.2	4054200	0.89	890															
4056.74	4056740	4058.65	4058650	1.91	1910															
4074.51	4074510	4075.72	4075720	1.21	1210															
4078.01	4078010	4078.84	4078840	0.83	830															
4086.77	4086770	4087.57	4087570	0.8	800															
4096.85	4096850	4099.07	4099070	2.22	2220															
4104.5	4104500	4105.31	4105310	0.81	810															
4106.9	4106900	4107.56	4107560	0.66	660															
4107.56	4107560	4109.01	4109010	1.45	1450															
4111.51	4111510	4112.11	4112110	0.6	600															
4116.3	4116300	4117.12	4117120	0.82	820															
4117.92	4117920	4120.15	4120150	2.23	2230															
