,Time,Action
0,89604.0,
1,89604.1,
2,89604.2,
3,89604.3,
4,89604.4,
5,89604.5,
6,89604.6,
7,89604.7,
8,89604.8,
9,89604.9,
10,89605.0,
11,89605.1,
12,89605.2,
13,89605.3,
14,89605.4,
15,89605.5,
16,89605.6,
17,89605.7,
18,89605.8,
19,89605.9,
20,89606.0,
21,89606.1,
22,89606.2,
23,89606.3,
24,89606.4,
25,89606.5,
26,89606.6,
27,89606.7,
28,89606.8,
29,89606.9,
30,89607.0,
31,89607.1,
32,89607.2,
33,89607.3,
34,89607.4,
35,89607.5,
36,89607.6,
37,89607.7,
38,89607.8,
39,89607.9,
40,89608.0,Testing Overlap
41,89608.1,Testing Overlap
42,89608.2,Testing Overlap
43,89608.3,Testing Overlap
44,89608.4,Testing Overlap
45,89608.5,Testing Overlap
46,89608.6,Testing Overlap
47,89608.7,Testing Overlap
48,89608.8,Testing Overlap
49,89608.9,Testing Overlap
50,89609.0,Testing Overlap
51,89609.1,Testing Overlap
52,89609.2,Testing Overlap
53,89609.3,Testing Overlap
54,89609.4,Testing Overlap
55,89609.5,Testing Overlap
56,89609.6,Testing Overlap
57,89609.7,Testing Overlap
58,89609.8,Testing Overlap
59,89609.9,Testing Overlap
60,89610.0,Testing Overlap
61,89610.1,Testing Overlap
62,89610.2,Testing Overlap
63,89610.3,Testing Overlap
64,89610.4,Testing Overlap
65,89610.5,Testing Overlap
66,89610.6,Testing Overlap
67,89610.7,Testing Overlap
68,89610.8,Testing Overlap
69,89610.9,Testing Overlap
70,89611.0,Testing Overlap
71,89611.1,Testing Overlap
72,89611.2,Testing Overlap
